manual_label,date_mid,mean,lower,upper
non_christian,150,-3.992124752228353,-6.532934742103934,-1.4192242607398784
non_christian,161.5,-3.9352269323857056,-6.32925949288906,-1.5065476583516557
non_christian,170,-3.8796600509771118,-6.154208140402163,-1.569848158820581
non_christian,170.5,-3.826591603992699,-6.0014388036550335,-1.6082621150957372
non_christian,175,-3.77671361717657,-5.8653375337638485,-1.6231130790016681
non_christian,184.5,-3.7313728734741813,-5.743121179463551,-1.6224702974660599
non_christian,188,-3.691347804067088,-5.63352913902878,-1.617069843022605
non_christian,196.5,-3.6572331167474563,-5.536764820316779,-1.6181670493108142
non_christian,200,-3.627974342132059,-5.4533481661623915,-1.6289637720953034
non_christian,200.5,-3.6030521482461304,-5.384783820283943,-1.652508065782044
non_christian,201,-3.5815825495861726,-5.332995187555116,-1.6873461063689765
non_christian,208,-3.5627644106942666,-5.299316361800193,-1.730138225926222
non_christian,208.5,-3.5460464163693666,-5.282019639029966,-1.7768885007328499
non_christian,211.5,-3.5308406800977066,-5.2774441773835905,-1.8221553391267769
non_christian,225,-3.515191239861246,-5.282254153909625,-1.8568293119065786
non_christian,230,-3.497850169221218,-5.295659520913458,-1.8750209164003264
non_christian,240,-3.45793252813522,-5.281576616026255,-1.8944015662911373
non_christian,250,-3.4480217033643714,-5.3299965786881,-1.8568502247861454
non_christian,251,-3.4124915442354515,-5.339796046581937,-1.8194185521555002
non_christian,279,-3.370570548290893,-5.338686008523811,-1.7608449058500155
non_christian,283.5,-3.3214740241172516,-5.321470082012953,-1.6818542530909062
non_christian,287.5,-3.2650425155401233,-5.28513095641353,-1.588009515956438
non_christian,297.5,-3.201035055833658,-5.2280546835360795,-1.482086002772572
non_christian,300,-3.128811370841323,-5.149144558946754,-1.3646360394790253
non_christian,308,-3.04860598159383,-5.0567805585586605,-1.2347796750500983
non_christian,312,-2.961145746676874,-4.964344316785778,-1.0910672913493173
non_christian,317.5,-2.8667589066988453,-4.882388710292155,-0.9311410359409849
non_christian,320.5,-2.7655092988133645,-4.816663896602199,-0.7512977000265288
non_christian,321.5,-2.65843094710899,-4.772673484608849,-0.5474566653183957
non_christian,330,-2.547080999617602,-4.752952930913399,-0.3153177320923177
non_christian,332,-2.43272152807151,-4.754828900818266,-0.0498982110955799
non_christian,335.5,-2.3168644084101793,-4.7737871503302705,0.25202482601952747
non_christian,350,-2.200755250636694,-4.806761809757456,0.5905748325914169
christian,150,3.743637707771602,-0.8107370537702927,8.334259997842512
christian,161.5,3.8005355276142496,-0.6070618045554186,8.246936600230734
christian,170,3.8561024090228435,-0.43201045206852173,8.18363609976181
christian,170.5,3.9091708560072562,-0.27924111532139206,8.145222143486652
christian,175,3.9590488428233854,-0.14313984543020752,8.130371179580722
christian,184.5,4.0043895865257735,-0.020923491129909877,8.13101396111633
christian,188,4.044414655932867,0.08866854930486134,8.136414415559784
christian,196.5,4.078529343252499,0.18543286801686243,8.135317209271577
christian,200,4.107788117867896,0.26884952217124947,8.124520486487086
christian,200.5,4.132710311753825,0.3374138680496983,8.100976192800346
christian,201,4.154179910413783,0.3892025007785257,8.066138152213414
christian,208,4.172998049305688,0.4228813265334481,8.023346032656168
christian,208.5,4.189716043630589,0.440178049303675,7.97659575784954
christian,211.5,4.204921779902248,0.44475351095005067,7.931328919455614
christian,225,4.220571220138709,0.43994353442401635,7.896654946675811
christian,230,4.237912290778738,0.426538167420183,7.878463342182063
christian,240,4.277829931864735,0.44062107230738623,7.859082692291253
christian,250,4.287740756635584,0.3922011096455412,7.896634033796245
christian,251,4.323270915764504,0.3824016417517043,7.93406570642689
christian,279,4.365191911709062,0.3835116798098305,7.9926393527323745
christian,283.5,4.414288435882704,0.4007276063206884,8.071630005491484
christian,287.5,4.470719944459832,0.4370667319201107,8.165474742625952
christian,297.5,4.534727404166297,0.49414300479756135,8.271398255809817
christian,300,4.606951089158632,0.5730531293868866,8.388848219103364
christian,308,4.687156478406125,0.6654171297749807,8.518704583532292
christian,312,4.7746167133230815,0.7578533715478635,8.662416967233073
christian,317.5,4.86900355330111,0.8398089780414861,8.822343222641406
christian,320.5,4.970253161186591,0.9055337917314423,9.002186558555861
christian,321.5,5.077331512890965,0.9495242037247917,9.206027593263995
christian,330,5.1886814603823534,0.9692447574202416,9.438166526490072
christian,332,5.303040931928445,0.9673687875153749,9.70358604748681
christian,335.5,5.4188980515897756,0.9484105380033712,10.005509084601918
christian,350,5.535007209363261,0.9154358785761856,10.344059091173808
