analysis,best_model,best_waic,second_waic,delta_waic,date_only_waic
within_christian,date_rw2_creator,302.05765070599523,302.34100965033645,0.28335894434121656,NA
window_150_350,label_date_rw2_creator,169.13796813155065,NA,104.05614619825289,273.19411432980354
