score,model,date_function,date_mid,mean,lower,upper,y_sd,mean_std,lower_std,upper_std,score_label,main_model,main_model_pretty
score_nb_logit,date_rw2_creator_source,rw2,-700,-5.6789022587559606,-11.03039086685202,-0.10719502375112058,27.10433416234271,-0.2095200798788084,-0.406960407172704,-0.00395490341541212,NB Logit,date_rw2_creator_source,Source + RW2 date + creator
score_nb_logit,date_rw2_creator_source,rw2,-450,-5.718962543761678,-10.999307393667392,-0.228650626415567,27.10433416234271,-0.21099808279766907,-0.40581359895382463,-0.008435943308773168,NB Logit,date_rw2_creator_source,Source + RW2 date + creator
score_nb_logit,date_rw2_creator_source,rw2,-350,-5.7590183242923985,-10.969013702441503,-0.34907512963959125,27.10433416234271,-0.21247591952631936,-0.40469592932045734,-0.012878941336422029,NB Logit,date_rw2_creator_source,Source + RW2 date + creator
score_nb_logit,date_rw2_creator_source,rw2,-295.5,-5.799067814819166,-10.93951395522197,-0.4684520003404853,27.10433416234271,-0.21395352418861763,-0.4036075518291365,-0.017283287519061327,NB Logit,date_rw2_creator_source,Source + RW2 date + creator
score_nb_logit,date_rw2_creator_source,rw2,-234,-5.839108989155414,-10.910811585010409,-0.5867651695150081,27.10433416234271,-0.21543082202948763,-0.4025485931386316,-0.021648388999358923,NB Logit,date_rw2_creator_source,Source + RW2 date + creator
score_nb_logit,date_rw2_creator_source,rw2,-223.5,-5.879138598236074,-10.882908837543045,-0.7039973402059178,27.10433416234271,-0.21690769317640093,-0.4015191361041869,-0.025973607615272596,NB Logit,date_rw2_creator_source,Source + RW2 date + creator
score_nb_logit,date_rw2_creator_source,rw2,-218,-5.919152257547658,-10.855806862740062,-0.8201301128800328,27.10433416234271,-0.2183839758650632,-0.40051922315149624,-0.030258264525806985,NB Logit,date_rw2_creator_source,Source + RW2 date + creator
score_nb_logit,date_rw2_creator_source,rw2,-200,-5.959141365033664,-10.829502767680234,-0.9351410968613331,27.10433416234271,-0.21985935272717275,-0.3995487475477688,-0.03450153363887342,NB Logit,date_rw2_creator_source,Source + RW2 date + creator
score_nb_logit,date_rw2_creator_source,rw2,-194.5,-5.999099527631492,-10.8039947788089,-1.0490117593468586,27.10433416234271,-0.22133358789408356,-0.3986076438586484,-0.03870273119655891,NB Logit,date_rw2_creator_source,Source + RW2 date + creator
score_nb_logit,date_rw2_creator_source,rw2,-191,-6.039019476992367,-10.779280247541973,-1.1617229236373274,27.10433416234271,-0.22280641320393152,-0.397695814366033,-0.042861149684737955,NB Logit,date_rw2_creator_source,Source + RW2 date + creator
score_nb_logit,date_rw2_creator_source,rw2,-189,-6.07890067355732,-10.755360713683816,-1.2732655858939361,27.10433416234271,-0.2242778087499753,-0.39681331588018603,-0.046976456911564435,NB Logit,date_rw2_creator_source,Source + RW2 date + creator
