score,model,mean,lower,upper,prob_positive,y_sd,mean_std,lower_std,upper_std,best_label_model_pretty,waic,score_label
score_bert_logit,label_date_linear_creator,5.701514273656032,4.749660981000466,6.649457703163467,0.9999998168752143,4.390385762811726,1.2986362888541763,1.08183226659305,1.5145497599520659,Label + linear date + creator,1849.8575591892477,Latin BERT
score_lgb_logit,label_date_rw1_creator,5.398585048105385,4.833279294885424,5.956178595004559,0.9999998149586209,2.931619252825528,1.8415027950516314,1.6486722449469022,2.031702646673481,Label + RW1 date + creator,1281.201478629078,LightGBM
score_nb_logit,label_date_rw2_creator,47.8320120652641,42.89628931122335,52.76608673668175,0.9999998131634256,26.560305027544583,1.800883386529617,1.6150525856814295,1.9866521367868422,Label + RW2 date + creator,3041.5506976710035,NB
score_ridge_logit,label_date_rw2_creator,3.651631100867066,3.2871559135034505,4.0148780919786065,0.999999814365258,1.9064501759527706,1.915408620129357,1.724228597718614,2.105944410517901,Label + RW2 date + creator,1031.8235041252003,Elastic net
score_svm_logit,label_date_rw1_creator,7.4029717024993715,6.6643927959778715,8.132545741223288,0.9999998148226715,4.092374143919372,1.8089674702639371,1.62849059289462,1.9872439457440565,Label + RW1 date + creator,1526.3364241147985,SVM
score_xgb_logit,label_date_rw1_creator,5.82173887321677,5.233779300610934,6.401484011072714,0.9999998152023442,3.1258765601024745,1.8624340281133551,1.6743397251871508,2.047900449038479,Label + RW1 date + creator,1306.538320051678,XGBoost
