score,main_model,main_model_pretty,date_function,has_creator,main_waic,main_dic,y_sd,score_label
score_nb_logit,date_rw2_creator_source,Source + RW2 date + creator,rw2,TRUE,6625.121535353055,6598.911628057077,27.10433416234271,NB
score_ridge_logit,date_rw2_creator_source,Source + RW2 date + creator,rw2,TRUE,2665.5320316678917,2670.98206510652,2.0103391574157827,Elastic net
score_svm_logit,date_rw2_creator_source,Source + RW2 date + creator,rw2,TRUE,3728.610290590669,3732.2616537649137,4.452305590492067,SVM
score_xgb_logit,date_rw2_creator_source,Source + RW2 date + creator,rw2,TRUE,3309.536168020977,3310.8990097062015,3.257814569466618,XGBoost
score_lgb_logit,date_rw2_creator_source,Source + RW2 date + creator,rw2,TRUE,3148.942689329403,3146.5576025105456,2.942219811873306,LightGBM
score_bert_logit,date_rw2_creator_source,Source + RW2 date + creator,rw2,TRUE,3699.808468495329,3684.0654539698025,3.5030130851659,Latin BERT
