analysis,score,model,waic,dic,eff_parameters,n,y_mean,y_sd,rank,delta_waic,waic_weight,model_pretty,has_source,has_date,date_function,has_creator,score_label
full_corpus,score_nb_logit,creator_source,6624.428421129134,6604.49300086056,178.67310511505127,780,-11.743342921029024,27.10433416234271,1,0,0.585782439310485,Source + creator,TRUE,FALSE,none,TRUE,NB
full_corpus,score_nb_logit,date_rw2_creator_source,6625.121535353055,6598.911628057077,160.67931995019651,780,-11.743342921029024,27.10433416234271,2,0.6931142239209294,0.41421756068951504,Source + RW2 date + creator,TRUE,TRUE,rw2,TRUE,NB
full_corpus,score_nb_logit,date_rw1_source,7044.440497694442,7044.49286488439,12.382076371150415,780,-11.743342921029024,27.10433416234271,3,420.0120765653073,3.658244730266148e-92,Source + RW1 date,TRUE,TRUE,rw1,FALSE,NB
full_corpus,score_nb_logit,date_linear_source,7139.180486286794,7139.568246036116,3.56798870037362,780,-11.743342921029024,27.10433416234271,4,514.7520651576597,9.789164465412183e-113,Source + linear date,TRUE,TRUE,linear,FALSE,NB
full_corpus,score_nb_logit,date_rw2_source,7146.84697943313,7147.227740538771,2.566949265682055,780,-11.743342921029024,27.10433416234271,5,522.4185583039962,2.1183015819447142e-114,Source + RW2 date,TRUE,TRUE,rw2,FALSE,NB
full_corpus,score_nb_logit,source_only,7365.139166238365,7365.627419870603,2.473943840569148,780,-11.743342921029024,27.10433416234271,6,740.7107451092306,8.403142038437679e-162,Source only,TRUE,FALSE,none,FALSE,NB
full_corpus,score_ridge_logit,date_rw2_creator_source,2665.544333343175,2670.9751896651105,145.6704189753704,780,-2.165282284986997,2.0103391574157827,1,0,0.9999993865700371,Source + RW2 date + creator,TRUE,TRUE,rw2,TRUE,Elastic net
full_corpus,score_ridge_logit,creator_source,2694.152731594764,2706.307908320429,160.92181437761698,780,-2.165282284986997,2.0103391574157827,2,28.60839825158928,6.134299628936159e-7,Source + creator,TRUE,FALSE,none,TRUE,Elastic net
full_corpus,score_ridge_logit,date_rw1_source,2968.2728392731665,2964.863753865573,42.44879188779576,780,-2.165282284986997,2.0103391574157827,3,302.72850592999157,1.8337490990898938e-66,Source + RW1 date,TRUE,TRUE,rw1,FALSE,Elastic net
full_corpus,score_ridge_logit,date_rw2_source,3001.4012254609383,2999.3926927289554,18.11072255600164,780,-2.165282284986997,2.0103391574157827,4,335.85689211776344,1.1738220290420344e-73,Source + RW2 date,TRUE,TRUE,rw2,FALSE,Elastic net
