"id","title","creator","date_range_start","date_range_end","start_era","end_era","stratum_start","stratum_end","type"
"MQDQ-329","Ardeatis templi inscriptio","Marcus Plautius",-200,-150,"Archaic","Archaic","Archaic_poetry","Archaic_poetry","poetry"
"MQDQ-494","carminis fragmentum","Atta",-125,-77,"Archaic","Classical","Archaic_poetry","Classical_poetry","poetry"
"MQDQ-318","Mostellaria","Plautus, Titus Maccius",-205,-184,"Archaic","Archaic","Archaic_poetry","Archaic_poetry","poetry"
"IT-LAT0955","Prognostica Aratea","Cicero, Marcus Tullius",-89,-60,"Archaic","Classical","Archaic_poetry","Classical_poetry","poetry"
"MQDQ-310","Captiui","Plautus, Titus Maccius",-205,-184,"Archaic","Archaic","Archaic_poetry","Archaic_poetry","poetry"
"MQDQ-509","comoediae fragmentum","Valerius",-100,-1,"Archaic","Classical","Archaic_poetry","Classical_poetry","poetry"
"MQDQ-503","palliatarum fragmenta","Trabea",-200,-150,"Archaic","Archaic","Archaic_poetry","Archaic_poetry","poetry"
"MQDQ-317","Miles gloriosus","Plautus, Titus Maccius",-205,-184,"Archaic","Archaic","Archaic_poetry","Archaic_poetry","poetry"
"MQDQ-214","carminum fragmenta","Matius",-100,-75,"Archaic","Classical","Archaic_poetry","Classical_poetry","poetry"
"MQDQ-37","togatae fragmentum","comoediae incertorum",-200,-1,"Archaic","Classical","Archaic_poetry","Classical_poetry","poetry"
"MQDQ-68","annalium fragmenta dubia","Ennius",-184,-169,"Archaic","Archaic","Archaic_poetry","Archaic_poetry","poetry"
"MQDQ-312","Cistellaria","Plautus, Titus Maccius",-205,-184,"Archaic","Archaic","Archaic_poetry","Archaic_poetry","poetry"
"MQDQ-319","Persa","Plautus, Titus Maccius",-205,-184,"Archaic","Archaic","Archaic_poetry","Archaic_poetry","poetry"
"MQDQ-288","carminum fragmenta","Caecus, Appius Claudius",-312,-279,"Archaic","Archaic","Archaic_poetry","Archaic_poetry","poetry"
"IT-LAT0093","Pro Quinctio","Cicero, Marcus Tullius",-81,-81,"Archaic","Archaic","Archaic_prose","Archaic_prose","prose"
"MQDQ-542","*epitaphium","Vergilius",-19,-19,"Classical","Classical","Classical_poetry","Classical_poetry","poetry"
"MQDQ-186","carminum fragmenta","Maecenas",-40,-8,"Classical","Classical","Classical_poetry","Classical_poetry","poetry"
"MQDQ-386","mimorum fragmenta","Publilius Syrus",-80,-40,"Classical","Classical","Classical_poetry","Classical_poetry","poetry"
"MQDQ-135","epistulae 2","Horatius",-12,-8,"Classical","Classical","Classical_poetry","Classical_poetry","poetry"
"MQDQ-7","carminum fragmenta","Catullus",-61,-54,"Classical","Classical","Classical_poetry","Classical_poetry","poetry"
"MQDQ-385","carminis fragmentum","Arbonius Silo",-27,14,"Classical","Silver","Classical_poetry","Silver_poetry","poetry"
"MQDQ-331","carminis fragmentum","Asinius Pollio",-76,4,"Classical","Classical","Classical_poetry","Classical_poetry","poetry"
"MQDQ-495","elegiae 1","Tibullus",-27,-19,"Classical","Classical","Classical_poetry","Classical_poetry","poetry"
"MQDQ-356","elegiae 1","Propertius",-30,-15,"Classical","Classical","Classical_poetry","Classical_poetry","poetry"
"MQDQ-57","carminum fragmenta","Domitius Marsus",-34,4,"Classical","Classical","Classical_poetry","Classical_poetry","poetry"
"MQDQ-518","tragoediarum fragmenta","Varius",-29,-29,"Classical","Classical","Classical_poetry","Classical_poetry","poetry"
"IT-LAT0922_4","De oratore","Cicero, Marcus Tullius",-55,-55,"Classical","Classical","Classical_prose","Classical_prose","prose"
"IT-LAT0051","Fabulae","Hyginus, Gaius Iulius",-25,200,"Classical","Late","Classical_prose","Late_prose","prose"
"IT-LAT0992","Epistula ad Quintum Catulum","Catilina, Lucius Sergius",-63,-63,"Classical","Classical","Classical_prose","Classical_prose","prose"
"IT-LAT0140","Pro Deiotaro","Cicero, Marcus Tullius",-45,-45,"Classical","Classical","Classical_prose","Classical_prose","prose"
"IT-LAT0922_11","Pro Fonteio","Cicero, Marcus Tullius",-69,-69,"Classical","Classical","Classical_prose","Classical_prose","prose"
"LC-3","Invectiva in Sallustium","Pseudo-Cicero",-43,400,"Classical","Late","Classical_prose","Late_prose","prose"
"IT-LAT0134","De provinciis consularibus","Cicero, Marcus Tullius",-56,-56,"Classical","Classical","Classical_prose","Classical_prose","prose"
"IT-LAT0029","Bellum Catilinae","Sallustius Crispus, Caius",-42,-41,"Classical","Classical","Classical_prose","Classical_prose","prose"
"IT-LAT0270","Psychomachia","Prudentius, Aurelius Clemens",395,405,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-119","*de martyrio Maccabaeorum","Pseudo-Hilary",375,600,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-107","carminum fragmenta","Albinus",200,300,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-351","epistula ad Florianum","Arator",554,550,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-417","de reditu suo","Rutilius Namatianus",417,417,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-42","Iohannis","Corippus",548,550,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-76","carmina 2","Ennodius",497,513,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-360","carmen de ingratis, argumentum","Prosper Aquitanus",429,430,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-157","de aue Phoenice","Lactantius, Lucius Caecilius Firmianus",303,304,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-482","aenigmata","Symphosius",368,500,"Late","Late","Late_poetry","Late_poetry","poetry"
