"id","title","creator","date_range_start","date_range_end","start_era","end_era","stratum_start","stratum_end","type"
"MQDQ-364","epitaphium haereseon","Prosper Aquitanus",431,432,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-361","carmen de ingratis","Prosper Aquitanus",429,430,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-49","exodus","Cyprianus Gallus",400,425,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-39","instructiones 1","Commodianus",225,275,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-48","liber geneseos","Cyprianus Gallus",400,425,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-445","epistulae, uersus inserti","Sidonius Apollinaris",469,482,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-41","carmen de duobus populis","Commodianus",225,275,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-372","contra Symmachum","Prudentius, Aurelius Clemens",395,405,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-82","Verecundia, opusc. 6","Ennodius",497,513,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-185","carminis fragmentum","Ambrosius Theodosius Macrobius",400,450,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-597","precationes variae","Ausonius, Decimus Magnus",379,379,"Late","Late","Late_poetry","Late_poetry","poetry"
"IT-LAT0737","Adversus Iudaeos","Tertullianus, Quintus Septimius Florens",197,197,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0665","De mirabilibus mundi","Solinus, Caius Iulius",275,325,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0403","De cathechizandis rudibus","Augustinus Hipponensis",399,399,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0435","Sententiae patrum Aegyptiorum","Martinus Bracarensis",556,579,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0990_5","De superbia","Martinus Bracarensis",550,579,"Late","Late","Late_prose","Late_prose","prose"
"LC-16","Saturnalia","Ambrosius Theodosius Macrobius",400,450,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0914","De musica fragmentum","Censorinus",200,300,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0776","Chronicon","Hydatius Lemicensis",408,468,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0791","Chronicon","Marcellinus Comes",520,534,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0256","De Baptismo","Tertullianus, Quintus Septimius Florens",198,203,"Late","Late","Late_prose","Late_prose","prose"
"LC-11","Matheseos libri VIII","Iulius Firmicus Maternus",334,337,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0990","Concilium Bracarense primum octo episcoporum, habitum aera DXCIX, anno tertio Ariamiri regis, die Kalendarum Maiarum.","Martinus Bracarensis",561,561,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0747","Liber de fuga in persecutione","Tertullianus, Quintus Septimius Florens",208,209,"Late","Late","Late_prose","Late_prose","prose"
"MQDQ-540","*uersus Aeneidos libro primo praemissi","Pseudo-Virgil",19,350,"Silver","Late","Silver_poetry","Late_poetry","poetry"
"MQDQ-152","carminum fragmenta","Alfius Auitus",150,250,"Silver","Late","Silver_poetry","Late_poetry","poetry"
"MQDQ-404","Miles gloriosus","argumenta Plautina",100,200,"Silver","Late","Silver_poetry","Late_poetry","poetry"
"MQDQ-395","Asinaria","argumenta Plautina",100,200,"Silver","Late","Silver_poetry","Late_poetry","poetry"
"MQDQ-341","praetextae fragmentum","Pomponius Secundus",31,51,"Silver","Silver","Silver_poetry","Silver_poetry","poetry"
"LC-10","Einsiedeln Eclogues","[Auctor incertus]",54,68,"Silver","Silver","Silver_poetry","Silver_poetry","poetry"
"MQDQ-170","Pharsalia","Lucanus",60,65,"Silver","Silver","Silver_poetry","Silver_poetry","poetry"
"MQDQ-554","epigramma","Verginius Rufus",97,109,"Silver","Silver","Silver_poetry","Silver_poetry","poetry"
"MQDQ-201","epigrammata 7","Martialis",92,92,"Silver","Silver","Silver_poetry","Silver_poetry","poetry"
"MQDQ-297","fragmenta","Petronius",64,65,"Silver","Silver","Silver_poetry","Silver_poetry","poetry"
"MQDQ-199","epigrammata 5","Martialis",89,89,"Silver","Silver","Silver_poetry","Silver_poetry","poetry"
"MQDQ-433","Hercules Oetaeus","Seneca, Lucius Annaeus",41,125,"Silver","Silver","Silver_poetry","Silver_poetry","poetry"
"IT-LAT0348","Constitutio limitum","Hyginus: Gromaticus",75,200,"Silver","Late","Silver_prose","Late_prose","prose"
"IT-LAT0407","Quaestiones","Caecilius Africanus, Sextus",125,175,"Silver","Silver","Silver_prose","Silver_prose","prose"
"IT-LAT0230","Epistulae morales ad Lucilium","Seneca, Lucius Annaeus",63,65,"Silver","Silver","Silver_prose","Silver_prose","prose"
"IT-LAT0534_3","Dialogus de oratoribus","Tacitus, Publius (Gaius) Cornelius",102,107,"Silver","Silver","Silver_prose","Silver_prose","prose"
"IT-LAT0239","De arboribus","Columella, Lucius Iunius Moderatus",30,60,"Silver","Silver","Silver_prose","Silver_prose","prose"
"IT-LAT0588","Opuscula rerum rusticarum","Frontinus, Sextus Iulius",64,84,"Silver","Silver","Silver_prose","Silver_prose","prose"
