"id","title","creator","date_range_start","date_range_end","start_era","end_era","stratum_start","stratum_end","type"
"MQDQ-604","*fragmenta","Pseudo-Ausonius",300,800,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-378","uersus ex Columbano","pseudo Cato",200,800,"Late","Late","Late_poetry","Late_poetry","poetry"
"IT-LAT0204","Disticha Catonis","[Auctor incertus]",200,300,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-66","uersus de fide","Agrestius Gallus Episcopus",441,441,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-362","in obtrectatorem Augustini","Prosper Aquitanus",429,430,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-55","deperditorum carminum reliquiae","Cyprianus Gallus",400,425,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-534","carminum libri 11","Venantius Fortunatus",590,605,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-53","Iesu Naue","Cyprianus Gallus",400,425,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-120","*de euangelio","Pseudo-Hilary",440,496,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-39","instructiones 1","Commodianus",225,275,"Late","Late","Late_poetry","Late_poetry","poetry"
"IT-LAT0270","Psychomachia","Prudentius, Aurelius Clemens",395,405,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-347","carmen in laudem Anastasii imperatoris","Priscianus",503,515,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-423","hymni","Sedulius",400,450,"Late","Late","Late_poetry","Late_poetry","poetry"
"IT-LAT0574_3","Gratiarum actio dicta Domino Gratiano Augusto","Ausonius, Decimus Magnus",379,379,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-102","Virgiliana continentia 740, uersus inserti","Fulgentius",550,642,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-477","Aradius Rufinus","Symmachus pater",375,375,"Late","Late","Late_poetry","Late_poetry","poetry"
