"id","title","creator","date_range_start","date_range_end","start_era","end_era","stratum_start","stratum_end","type"
"MQDQ-107","carminum fragmenta","Albinus",200,300,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-218","carmen de Christo","Merobaudes",430,450,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-622","poematum libri","Alcimus Auitus",468,518,"Late","Late","Late_poetry","Late_poetry","poetry"
"IT-LAT0574_5","Ordo urbium nobilium","Ausonius, Decimus Magnus",388,389,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-215","elegiae","Maximianus",500,600,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-596","Cupido cruciatus","Ausonius, Decimus Magnus",380,383,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-363","epigrammata","Prosper Aquitanus",450,450,"Late","Late","Late_poetry","Late_poetry","poetry"
"IT-LAT0611","Ecloga","Theodulus",1000,1050,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-368","apotheosis","Prudentius, Aurelius Clemens",395,405,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-374","dittochaeon","Prudentius, Aurelius Clemens",395,405,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-500","carminum fragmenta","Tiberianus",275,325,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-56","epigrammata","Damasus",366,384,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-571","carmen ad Nortiam","Avienus, Rufius Festus",340,360,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-185","carminis fragmentum","Ambrosius Theodosius Macrobius",400,450,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-351","epistula ad Florianum","Arator",554,550,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-98","carmen (anth. Riese)","Florentinus",496,500,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-564","de Iesu Christo","Pseudo-Victorinus",430,700,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-23","de consulatu Stilichonis","Claudianus, Claudius",399,400,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-515","*precatio ad Christum","Augustinus Hipponensis",375,800,"Late","Late","Late_poetry","Late_poetry","poetry"
"IT-LAT0744","De exhortatione castitatis","Tertullianus, Quintus Septimius Florens",208,209,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0410","Vita Sancti Martini episcopi et confessoris","Severus, Sulpicius",396,396,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0286","Testamentum porcelli","[Auctor incertus]",325,375,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0957","De natura rerum ad Sisebutum regem liber","Isidorus Hispalensis Episcopus",612,613,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0250","De Anima","Cassiodorus, Flavius Magnus Aurelius",540,540,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0353","Epistula ad Theodosium","Avianus, Flavius",375,425,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0263","Epistula ad Marcellinam sororem","Ambrosius Mediolanensis",385,386,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0196","De origine actibusque Getarum","Iordanes",551,551,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0608","De laude eremi","Eucherius Arelas: Sanctus",426,427,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0908","Sententiae","Isidorus Hispalensis Episcopus",612,636,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0403","De cathechizandis rudibus","Augustinus Hipponensis",399,399,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0914","De musica fragmentum","Censorinus",200,300,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0202","Institutiones","Iustinianus, Caesar Flavius (Imperator Iustinianus)",533,533,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0791","Chronicon","Marcellinus Comes",520,534,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0878","Vita Pauli","Hieronymus",372,381,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0850","De viris illustribus urbis Romae","Auctor incertus (Aurelius Victor?)",300,400,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0886","Epistulae de iure civitatis Orcistenorum","Ablabius",326,337,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0482","Institutiones divinarum et saecularium litterarum","Cassiodorus, Flavius Magnus Aurelius",530,560,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0362","De schematibus","Donatus, Aelius",300,400,"Late","Late","Late_prose","Late_prose","prose"
"LC-11","Matheseos libri VIII","Iulius Firmicus Maternus",334,337,"Late","Late","Late_prose","Late_prose","prose"
"LC-16","Saturnalia","Ambrosius Theodosius Macrobius",400,450,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0059","De unitate ecclesiae","Cyprianus Carthaginensis",251,251,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0990_7","Exhortatio humilitatis","Martinus Bracarensis",550,579,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0904","Adversus profanas omnium novitates haereticorum commonitorium cum notis","Vincentius Lerinensis",434,434,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0919","Opus agriculturae","Palladius, Rutilius Taurus Aemilianus",425,475,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0865","De Trinitate","Novatianus",230,250,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0909","Historia de regibus Gothorum, Vandalorum et Suevorum","Isidorus Hispalensis Episcopus",621,625,"Late","Late","Late_prose","Late_prose","prose"
