word1,word2,ppmi,cooc_n
constituo,prouincia,0.9360686949125427,56
auctoritas,littera,0.9354029897953141,51
memoria,reliquus,0.9340940061818279,49
exercitus,iniuria,0.9338071032964862,56
ciuitas,facile,0.9333347367312551,68
aequor,saeuus,0.9325493392652405,71
ciuitas,oportet,0.9324693104548263,63
episcopus,iudico,0.932302212117066,12
iudico,oportet,0.9323022121170658,68
eques,exercitus,0.9319971480512467,46
facile,orator,0.9308807477696883,37
appello,oportet,0.9301991619202872,70
episcopus,filius,0.9292110195473929,17
animal,reliquus,0.928458517442503,41
iniuria,oratio,0.9276960317021684,57
facile,memoria,0.9275793251606343,63
animal,exercitus,0.9275765535458499,40
numen,tellus,0.9273394227749369,67
iniuria,periculum,0.9271359644794637,63
exercitus,iudico,0.9262598976611032,55
acies,agmen,0.9262598976611032,55
graeci,senatus,0.9249608052586982,40
constituo,iudico,0.9228234681625221,70
iniuria,orator,0.9218309122497704,32
mars,numen,0.9217023196951022,54
ciuitas,paulus,0.9192301305497131,64
eques,imperator,0.9186613374884915,35
castra,exercitus,0.9184928683234436,54
caesar,consul,0.9164790971778233,66
auctoritas,iudicium,0.9163813074822059,61
eques,mars,0.916060555788434,42
extremus,periculum,0.9154853472594883,72
appello,intellego,0.9153962600389913,71
copia,imperator,0.9150512252643915,49
ciuitas,periculum,0.9140638829121108,57
litus,tellus,0.913433727812683,70
ciuis,orator,0.9130972322810158,38
episcopus,littera,0.9122614612336198,13
tellus,unda,0.9108881176132495,77
agmen,litus,0.9108486337405782,61
graeci,iudicium,0.9104022164261477,58
acies,animal,0.9103233053982905,45
orator,reliquus,0.9099964546027675,28
ciuitas,constituo,0.9097513865951694,64
iniuria,memoria,0.9095608196579561,54
littera,memoria,0.908502058309714,59
facile,reliquus,0.9073956729027101,64
animal,existimo,0.9072321128286177,34
iniuria,oportet,0.9070158264646297,67
agmen,proelium,0.9064081291083717,63
animal,constituo,0.9061216185445907,50
existimo,iudicium,0.9060825552816314,63
appello,constituo,0.9059175160844476,71
orator,potestas,0.9057015303198869,41
appello,contineo,0.905550026645633,77
existimo,inimicus,0.9050237939333894,59
existimo,sententia,0.9050237939333894,59
exercitus,inimicus,0.9048195664232339,68
orator,reperio,0.9039732948497642,37
auctoritas,publicus,0.9026969576632263,55
animal,motus,0.9026969576632263,55
iudico,reliquus,0.9024492489673847,55
memoria,sententia,0.902125841170438,67
luna,semen,0.9020623269273476,64
ciuis,imperator,0.8998520055309952,50
ciuitas,senatus,0.8996429972744082,52
paulus,periculum,0.8990816987892098,67
orator,sermo,0.8983004148395765,42
exercitus,orator,0.8974394591256113,27
facile,oportet,0.8969243730354148,76
graeci,nauis,0.8969243730354147,38
eques,roma,0.8968717751375657,61
imperator,inimicus,0.8965131042654806,52
constituo,oratio,0.8964277253966989,61
exercitus,intellego,0.8963806977773692,59
castra,mars,0.8963643058127098,49
orator,publicus,0.8958554258465098,38
inimicus,oratio,0.8956077171506681,69
oratio,senatus,0.8951078421090171,50
inimicus,iudico,0.8940809992968681,77
luna,mars,0.893912322565423,52
acies,murus,0.8935161870819094,59
imperator,potestas,0.8934314377280725,54
ciuitas,iniuria,0.8930104737142787,57
animal,contingo,0.8929315626864214,54
memoria,periculum,0.8928739008729414,52
iniuria,intellego,0.8928433753765183,68
prouincia,reliquus,0.8927049574927065,43
animal,caro,0.8920698650889402,40
iniuria,reliquus,0.8919779491000893,55
oportet,orator,0.8919779491000893,33
inimicus,periculum,0.8915910270600523,76
memoria,paulus,0.891407624950414,58
eques,periculum,0.8909245825168919,50
castra,eques,0.8909245825168919,50
defendo,imperator,0.8908686866458034,53
intellego,prouincia,0.8904876616840589,53
littera,prouincia,0.8904876616840589,53
auctoritas,efficio,0.8902825545148444,52
periculum,senatus,0.8897744961336543,55
ciuis,prouincia,0.8896669804726298,58
efficio,reliquus,0.8893771674000318,64
intellego,reliquus,0.8893771674000318,60
graeci,respondeo,0.8890410894267795,55
auxilium,exercitus,0.8885505117083654,63
agmen,claudo,0.8885505117083654,63
animal,consto,0.8884046196906442,57
numen,unda,0.8878657051927283,80
orator,suscipio,0.8873447361786011,38
eques,publicus,0.8871568096060851,62
animal,diuersus,0.8870988523669198,56
agmen,telum,0.886754559025595,64
existimo,senatus,0.8867395924385004,42
iniuria,senatus,0.8867395924385003,56
eques,reliquus,0.8862075926387528,45
diuinus,existimo,0.8861128296476912,55
ciuis,senatus,0.8854965841989033,67
efficio,existimo,0.8854632680788957,54
consul,imperator,0.8854632680788957,45
aequor,saxum,0.8850575062555154,66
istic,oratio,0.8850575062555154,33
eques,senatus,0.8849296371932609,46
oportet,reliquus,0.8844631525976029,58
publicus,senatus,0.8830698635495378,68
agmen,numen,0.8830347779230628,56
consilium,imperator,0.8829154960000968,56
animal,contineo,0.8828974924173831,53
exercitus,murus,0.8828406597044586,51
constituo,memoria,0.8819288809958703,58
episcopus,potestas,0.8810089177295152,15
exercitus,nauis,0.8802999492489153,47
periculum,scelus,0.8800834202085723,72
castra,telum,0.8800834202085723,72
ciuitas,iudicium,0.879765246964258,75
contineo,imperator,0.8796492982134757,49
contineo,oratio,0.8784480968678415,65
contineo,reliquus,0.8784480968678415,65
auctoritas,inimicus,0.8773791496789367,55
imperator,sententia,0.8770950184083791,51
oratio,periculum,0.8759900866175724,53
auctoritas,suscipio,0.8758371293271214,54
