dim1,dim2,feature,term_count,doc_freq,prevalence
-0.04029408928355766,-0.028953586009297348,amicus,1241,154,0.425414364640884
-0.033334531881229944,0.016317030890900055,inimicus,644,120,0.3314917127071823
-0.04328741769497769,-0.023467411611512817,sequor,2024,202,0.5580110497237569
-0.07553466058962946,-0.018425734684473616,uir,3619,223,0.6160220994475138
-0.03852455032578132,-0.03529961887679518,summus,1867,196,0.5414364640883977
-0.09854197317096972,0.01740924138616903,deus,7064,238,0.6574585635359116
-0.06807330906590145,-0.06425615354370512,genus,3121,192,0.5303867403314917
-0.033147153421959084,-0.013648585592966465,templum,915,129,0.356353591160221
-0.029528872218031302,-0.018236019329532716,sacer,1185,166,0.4585635359116022
-0.03504031650000916,-0.022455738161270354,ordo,1146,146,0.40331491712707185
-0.06444466489531435,-0.036195490652662254,pono,2571,199,0.5497237569060773
-0.07964593139076151,0.010636776404704812,populus,3004,200,0.5524861878453039
-0.07628433711804523,-0.02715648492343059,unus,5202,242,0.6685082872928176
-0.052057949287795724,-0.018257729212245447,gens,1786,161,0.4447513812154696
-0.0622850359421966,-0.016507008344868356,credo,2942,198,0.5469613259668509
-0.04535122274938326,-0.03524953370243403,miser,1448,151,0.4171270718232044
-0.09170542488290638,-0.09371013009511048,animus,3753,198,0.5469613259668509
-0.03295859644884785,-0.019853035996308614,nosco,1508,181,0.5
-0.05155530163820279,-0.017069355735537344,nox,1773,178,0.49171270718232046
-0.09380256506090481,-0.014977778901758651,dies,4132,215,0.5939226519337016
-0.030229048678267038,-0.01775786772058248,officium,835,137,0.3784530386740331
-0.0235623477876656,-0.007622609323222114,pietas,644,122,0.3370165745856354
-0.085051110073316,-0.05127345341105491,uolo,5064,228,0.6298342541436464
-0.04135453954974466,-0.009817105568107509,loquor,1755,187,0.5165745856353591
-0.023514481310955918,-0.021439591400551575,amo,1152,143,0.39502762430939226
-0.07866039370210003,0.006363684526813555,pater,3858,215,0.5939226519337016
-0.03755443578744225,0.011222551230947024,ciuis,847,115,0.31767955801104975
-0.047560496028548754,-0.046433593328201676,utor,1477,152,0.4198895027624309
-0.035834196131091935,0.001651541245749285,iniuria,641,96,0.26519337016574585
-0.07503869070628154,-0.043706719507691644,uita,3268,206,0.569060773480663
-0.03071214762820221,-0.015505556423891453,minor,995,158,0.43646408839779005
-0.029087572218016833,-0.018955219309864227,spes,1064,164,0.4530386740331492
-0.028470305943579445,-0.015042898060882097,melior,883,147,0.40607734806629836
-0.015511683570875717,-0.01785146311008191,istic,643,58,0.16022099447513813
-0.025220674841311314,-0.004117978388745287,mereo,1110,166,0.4585635359116022
-0.03210500444901137,-0.014378735585113656,mons,913,136,0.3756906077348066
-0.035705102687925185,-0.029830763140190817,parum,1051,146,0.40331491712707185
-0.05597805426309318,0.015908164355266853,domus,1907,187,0.5165745856353591
-0.03802163379496102,0.03934867372519609,abeo,881,130,0.35911602209944754
-0.040479932211170036,-0.007383757682626442,tertius,880,123,0.3397790055248619
-0.0406326164569738,-0.01859744037293036,uiuo,1504,178,0.49171270718232046
-0.033220420406610385,-0.013559654935684663,ualeo,1068,162,0.44751381215469616
-0.0675085614773713,-0.012011945774230275,ago,3349,217,0.5994475138121547
-0.03351559582433458,0.0031205263575456305,redeo,1217,175,0.48342541436464087
-0.018125866397231134,-0.014638331476879405,colo,708,146,0.40331491712707185
-0.021926318308259186,-0.01709027540699563,taceo,795,144,0.39779005524861877
-0.07847247716751751,0.014271575254395616,audio,2143,169,0.46685082872928174
-0.03145834885232461,-0.03873835189420138,sapio,699,116,0.32044198895027626
-0.09272553099352733,-0.03919138912759507,magnus,4722,229,0.6325966850828729
-0.023473850596593692,-0.013098856640152076,ops,878,157,0.43370165745856354
-0.03047901397336277,-0.010029020297532977,placeo,1201,170,0.4696132596685083
-0.03276041044648386,-0.0023149076021977007,nolo,906,140,0.3867403314917127
-0.03338983797539107,-0.011237009225174953,honor,1333,183,0.505524861878453
-0.026583252476100806,-0.012723663952304159,perdo,881,153,0.42265193370165743
-0.06341689781807226,0.01667003788579978,accipio,2055,187,0.5165745856353591
-0.04333618425013092,-0.019663091601328706,uerus,1856,185,0.511049723756906
-0.046195598509964,-0.015800900300318627,potestas,1048,125,0.3453038674033149
-0.03433931722998695,-0.008581169377230326,parens,1147,170,0.4696132596685083
-0.0644936449415645,-0.052708311564866,scio,2399,171,0.4723756906077348
-0.034604579369819706,-0.016932208843734357,ostendo,886,141,0.38950276243093923
-0.0489592887773185,-0.04930989869487618,sententia,1129,120,0.3314917127071823
-0.05648607220867934,-0.05384778530303629,quaero,2290,190,0.5248618784530387
-0.038224777349337116,-0.038167501334610936,usus,1151,150,0.4143646408839779
-0.022681571058496146,-0.02076983619158784,maneo,938,159,0.43922651933701656
-0.02864036409579532,-0.013171678975686508,seruus,874,136,0.3756906077348066
-0.12129797121758423,-0.06043380572593293,homo,5798,207,0.5718232044198895
-0.04925174082623288,-0.01101603599598749,peto,1914,189,0.5220994475138122
-0.04323711863683083,-0.025218901007181965,opus,2131,195,0.5386740331491713
-0.11282164345021808,-0.050501689440929975,locus,4890,208,0.574585635359116
-0.029978640077153,7.190319380792023e-4,adsum,986,150,0.4143646408839779
-0.040651558526841304,-0.023174164808986264,maior,1139,146,0.40331491712707185
-0.04403417889129304,0.046015974585617465,filia,613,95,0.26243093922651933
-0.04481444015193071,-0.041125511341841725,modus,2060,178,0.49171270718232046
-0.04996807883489087,-0.022655796617016444,uoco,1724,179,0.494475138121547
-0.03268266218809452,-0.017315508601066613,patior,1195,175,0.48342541436464087
-0.03154344608239248,-0.02872040536733906,oportet,769,102,0.281767955801105
-0.02360018724402323,-0.014111479315022355,sumo,1040,170,0.4696132596685083
-0.041811346381401604,0.0031499946252760347,gratia,1216,162,0.44751381215469616
-0.03923187073126567,-8.719725923276186e-4,scelus,867,115,0.31767955801104975
-0.04994652476631936,0.008692313009628857,consilium,1146,131,0.36187845303867405
-0.0879929345914815,-0.04729133359224177,oratio,1328,85,0.23480662983425415
-0.028040475096227074,-0.011308102089124375,potior,1074,168,0.46408839779005523
-0.01874204558299413,-0.02013978600325355,malo,643,141,0.38950276243093923
-0.03890943817302778,-0.02568901594805756,aetas,1274,164,0.4530386740331492
-0.028186245611019376,-0.009172571963207785,spatium,680,115,0.31767955801104975
-0.04077323097674911,0.004113545487991865,gero,1414,174,0.48066298342541436
-0.12544651677536195,-0.05642411206733276,bellum,3355,164,0.4530386740331492
-0.023251909230774484,-0.020439593875586262,turba,754,135,0.3729281767955801
-0.04495606034230993,-0.03855584483492725,pectus,1586,154,0.425414364640884
-0.0956887405521472,-0.0794546890704247,uerbum,3626,191,0.5276243093922652
-0.025820410360155678,-0.02322579736046938,certus,1089,168,0.46408839779005523
-0.04932703800702309,-0.03418198877225757,uox,1944,183,0.505524861878453
-0.021573246264602535,-0.012513760421739515,auris,785,161,0.4447513812154696
-0.04454462416300165,-0.02636688896367394,anima,1389,127,0.35082872928176795
-0.023729945106875178,-0.01370276132038021,sedeo,602,126,0.34806629834254144
-0.037794254747393154,-0.03380515775564978,mos,1753,191,0.5276243093922652
-0.017910443601681616,-0.015038463923430253,curo,645,135,0.3729281767955801
-0.049957474503873577,-0.015026958686281216,mater,1796,175,0.48342541436464087
-0.06517134633913065,-0.06926692128499803,bonus,2842,197,0.5441988950276243
-0.025566331943375282,0.0029888895323248632,praesens,664,134,0.3701657458563536
-0.035439680687665266,-0.01453010581319619,socius,775,109,0.3011049723756906
-0.033655030207345636,-0.03456519273604796,alienus,858,132,0.36464088397790057
-0.04284552451309375,0.013758711353166838,mulier,837,109,0.3011049723756906
-0.0728058845588771,0.006457243854089891,uenio,3697,220,0.6077348066298343
-0.05414268488383989,0.01619906140023859,uxor,1042,112,0.30939226519337015
-0.038369702918898255,-0.025629897769807158,facile,824,110,0.30386740331491713
-0.0638307449784568,-0.041411300765395696,inuenio,1785,160,0.4419889502762431
-0.031109776790948916,0.0087729447950511,reperio,599,113,0.31215469613259667
-0.044891977793455266,-0.04501577018552708,sol,1518,158,0.43646408839779005
-0.10229646383426659,0.07825567413328971,urbs,2694,185,0.511049723756906
-0.048593042830152575,-0.037915856076743436,os,2506,195,0.5386740331491713
-0.019713833011899412,-0.01237290714517626,male,631,133,0.3674033149171271
-0.05413969748182156,-0.042570150617634465,uis,2725,204,0.56353591160221
-0.02063382799960688,-0.02153841615413573,specto,683,144,0.39779005524861877
-0.03433639633545359,-0.030291588733657622,ingenium,976,131,0.36187845303867405
