word1,word2,word3,interaction_info,abs_interaction_info
dies,primus,ago,0.26675296538374105,0.26675296538374105
dies,tempus,ago,0.2563628039038447,0.2563628039038447
dies,ago,manus,0.2532903444573141,0.2532903444573141
locus,dies,ago,0.2515758923282668,0.2515758923282668
dies,tempus,primus,0.24022934802238824,0.24022934802238824
dies,ago,terra,0.23858376856719243,0.23858376856719243
dies,ago,totus,0.23699576016393492,0.23699576016393492
dies,uenio,manus,0.23345927688800347,0.23345927688800347
dies,primus,totus,0.23344774854325412,0.23344774854325412
dies,tempus,manus,0.23295436361565935,0.23295436361565935
tempus,primus,ago,0.23275918760824726,0.23275918760824726
unus,dies,primus,0.23198979797262986,0.23198979797262986
locus,dies,primus,0.23112474681166228,0.23112474681166228
deus,dies,ago,0.22928296577078455,0.22928296577078455
uolo,dies,ago,0.2290677705340563,0.2290677705340563
magnus,dies,ago,0.2288091592465559,0.2288091592465559
unus,uolo,primus,0.22789017598773165,0.22789017598773165
magnus,primus,ago,0.2271754721177289,0.2271754721177289
locus,primus,ago,0.22631939842522408,0.22631939842522408
dies,uenio,primus,0.22619257679854785,0.22619257679854785
dies,uenio,ago,0.2259545653804133,0.2259545653804133
unus,primus,ago,0.22420172114388387,0.22420172114388387
tempus,ago,manus,0.22330061998982093,0.22330061998982093
locus,dies,nomen,0.22321276814024305,0.22321276814024305
unus,locus,nomen,0.2231053758377452,0.2231053758377452
dies,ago,bonus,0.22287205918350886,0.22287205918350886
unus,locus,primus,0.2219823528581668,0.2219823528581668
primus,ago,totus,0.22158306658950033,0.22158306658950033
unus,primus,totus,0.22117686847415644,0.22117686847415644
dies,tempus,uenio,0.22090460800300138,0.22090460800300138
dies,primus,terra,0.21996241291195512,0.21996241291195512
pars,tempus,ago,0.21956320899648885,0.21956320899648885
pars,primus,ago,0.21864948025360878,0.21864948025360878
uolo,dies,primus,0.21848098934425578,0.21848098934425578
unus,nomen,primus,0.21841441619304824,0.21841441619304824
dies,nomen,primus,0.2179094318788302,0.2179094318788302
locus,dies,manus,0.2177913065098579,0.2177913065098579
unus,dies,ago,0.21743914846365248,0.21743914846365248
primus,ago,uis,0.21736508538608115,0.21736508538608115
locus,ago,uis,0.2172962196652022,0.2172962196652022
tempus,uenio,manus,0.21703406057435023,0.21703406057435023
unus,uolo,locus,0.21650263845189446,0.21650263845189446
magnus,dies,primus,0.21636719296352047,0.21636719296352047
magnus,ago,uis,0.21607125869775684,0.21607125869775684
dies,ago,uis,0.21596972943482928,0.21596972943482928
locus,nomen,primus,0.21596901840864718,0.21596901840864718
dies,uerbum,ago,0.21596723179840793,0.21596723179840793
dies,tempus,totus,0.21518082893009832,0.21518082893009832
pars,dies,ago,0.21492179246466014,0.21492179246466014
uolo,primus,ago,0.2148585895159233,0.2148585895159233
primus,ago,terra,0.2144548481563279,0.2144548481563279
dies,nomen,ago,0.21406048813478987,0.21406048813478987
pars,tempus,primus,0.21378033501046503,0.21378033501046503
unus,locus,dies,0.21367749110984124,0.21367749110984124
dies,primus,manus,0.21360345501140482,0.21360345501140482
dies,terra,manus,0.2133257764286945,0.2133257764286945
ago,manus,uis,0.21324795784226802,0.21324795784226802
tempus,uenio,primus,0.2131929239412686,0.2131929239412686
nomen,primus,totus,0.21299922045632622,0.21299922045632622
uenio,ago,manus,0.2127832619717544,0.2127832619717544
unus,uolo,dies,0.21249811567030918,0.21249811567030918
uenio,manus,credo,0.21243305884323505,0.21243305884323505
locus,nomen,totus,0.21225546857882455,0.21225546857882455
dies,nomen,totus,0.21208884130863465,0.21208884130863465
unus,locus,ago,0.21189197410437396,0.21189197410437396
locus,ago,manus,0.21154866708836453,0.21154866708836453
dies,totus,terra,0.21061134488684147,0.21061134488684147
unus,uolo,nomen,0.2106048138528312,0.2106048138528312
dies,totus,manus,0.2105611420536972,0.2105611420536972
locus,dies,totus,0.21033066724822613,0.21033066724822613
uolo,dies,manus,0.2102860225852495,0.2102860225852495
primus,ago,manus,0.2099555737677868,0.2099555737677868
locus,tempus,ago,0.20958907796304432,0.20958907796304432
uolo,dies,tempus,0.20957476840321088,0.20957476840321088
tempus,primus,totus,0.20950797278783972,0.20950797278783972
uolo,locus,dies,0.20882562174706804,0.20882562174706804
uolo,ago,uis,0.20874836433268906,0.20874836433268906
dies,manus,credo,0.2086320921359041,0.2086320921359041
deus,primus,ago,0.20816240363833335,0.20816240363833335
unus,nomen,totus,0.20812535745203614,0.20812535745203614
locus,nomen,ago,0.20806491387148884,0.20806491387148884
locus,dies,tempus,0.20801781208795497,0.20801781208795497
uenio,primus,ago,0.20781508942240526,0.20781508942240526
locus,dies,uenio,0.20766488278034329,0.20766488278034329
unus,uolo,uenio,0.207661881830745,0.207661881830745
pars,dies,primus,0.20736917543144803,0.20736917543144803
uolo,locus,nomen,0.2073396965843178,0.2073396965843178
dies,uir,ago,0.20730390238315255,0.20730390238315255
unus,uolo,ago,0.20700496148693698,0.20700496148693698
unus,dies,totus,0.2067757323482448,0.2067757323482448
tempus,ago,totus,0.20661042551201256,0.20661042551201256
dies,tempus,nomen,0.20645566480511585,0.20645566480511585
uolo,tempus,ago,0.20627436705258817,0.20627436705258817
tempus,nomen,totus,0.20590808073384184,0.20590808073384184
deus,dies,primus,0.20554012694606766,0.20554012694606766
dies,tempus,terra,0.20492492771909399,0.20492492771909399
pars,dies,tempus,0.20490755459246868,0.20490755459246868
dies,uenio,totus,0.20487977747776898,0.20487977747776898
ago,terra,manus,0.20475851550492113,0.20475851550492113
locus,ago,totus,0.20465257184818264,0.20465257184818264
dies,primus,credo,0.20451162828070127,0.20451162828070127
unus,dies,nomen,0.20441758351364125,0.20441758351364125
locus,pars,ago,0.20426294701887143,0.20426294701887143
