from,to,weight
exercitus,iudico,0.9262598976611032
acies,agmen,0.9262598976611032
graeci,senatus,0.9249608052586982
constituo,iudico,0.9228234681625221
iniuria,orator,0.9218309122497704
mars,numen,0.9217023196951022
ciuitas,paulus,0.9192301305497131
eques,imperator,0.9186613374884915
castra,exercitus,0.9184928683234436
caesar,consul,0.9164790971778233
auctoritas,iudicium,0.9163813074822059
eques,mars,0.916060555788434
extremus,periculum,0.9154853472594883
appello,intellego,0.9153962600389913
copia,imperator,0.9150512252643915
ciuitas,periculum,0.9140638829121108
litus,tellus,0.913433727812683
ciuis,orator,0.9130972322810158
episcopus,littera,0.9122614612336198
tellus,unda,0.9108881176132495
agmen,litus,0.9108486337405782
graeci,iudicium,0.9104022164261477
acies,animal,0.9103233053982905
orator,reliquus,0.9099964546027675
ciuitas,constituo,0.9097513865951694
iniuria,memoria,0.9095608196579561
littera,memoria,0.908502058309714
facile,reliquus,0.9073956729027101
animal,existimo,0.9072321128286177
iniuria,oportet,0.9070158264646297
agmen,proelium,0.9064081291083717
animal,constituo,0.9061216185445907
existimo,iudicium,0.9060825552816314
appello,constituo,0.9059175160844476
orator,potestas,0.9057015303198869
appello,contineo,0.905550026645633
existimo,inimicus,0.9050237939333894
existimo,sententia,0.9050237939333894
exercitus,inimicus,0.9048195664232339
orator,reperio,0.9039732948497642
auctoritas,publicus,0.9026969576632263
animal,motus,0.9026969576632263
iudico,reliquus,0.9024492489673847
memoria,sententia,0.902125841170438
luna,semen,0.9020623269273476
ciuis,imperator,0.8998520055309952
ciuitas,senatus,0.8996429972744082
paulus,periculum,0.8990816987892098
orator,sermo,0.8983004148395765
exercitus,orator,0.8974394591256113
facile,oportet,0.8969243730354148
graeci,nauis,0.8969243730354147
eques,roma,0.8968717751375657
imperator,inimicus,0.8965131042654806
constituo,oratio,0.8964277253966989
exercitus,intellego,0.8963806977773692
castra,mars,0.8963643058127098
orator,publicus,0.8958554258465098
inimicus,oratio,0.8956077171506681
oratio,senatus,0.8951078421090171
inimicus,iudico,0.8940809992968681
luna,mars,0.893912322565423
acies,murus,0.8935161870819094
imperator,potestas,0.8934314377280725
ciuitas,iniuria,0.8930104737142787
animal,contingo,0.8929315626864214
