time,step,detail
2026-03-29 01:53:44,lgb_inner_fold,outer 1 candidate 2 of 8 fold 2 of 5
2026-03-29 01:53:44,lgb_inner_fold,outer 1 candidate 2 of 8 fold 3 of 5
2026-03-29 01:53:45,lgb_inner_fold,outer 1 candidate 2 of 8 fold 4 of 5
2026-03-29 01:53:45,lgb_inner_fold,outer 1 candidate 2 of 8 fold 5 of 5
2026-03-29 01:53:45,lgb_inner_fold,outer 1 candidate 3 of 8 fold 1 of 5
2026-03-29 01:53:46,lgb_inner_fold,outer 1 candidate 3 of 8 fold 2 of 5
2026-03-29 01:53:47,lgb_inner_fold,outer 1 candidate 3 of 8 fold 3 of 5
2026-03-29 01:53:47,lgb_inner_fold,outer 1 candidate 3 of 8 fold 4 of 5
2026-03-29 01:53:48,lgb_inner_fold,outer 1 candidate 3 of 8 fold 5 of 5
2026-03-29 01:53:49,lgb_inner_fold,outer 1 candidate 4 of 8 fold 1 of 5
2026-03-29 01:53:49,lgb_inner_fold,outer 1 candidate 4 of 8 fold 2 of 5
2026-03-29 01:53:50,lgb_inner_fold,outer 1 candidate 4 of 8 fold 3 of 5
2026-03-29 01:53:50,lgb_inner_fold,outer 1 candidate 4 of 8 fold 4 of 5
2026-03-29 01:53:50,lgb_inner_fold,outer 1 candidate 4 of 8 fold 5 of 5
2026-03-29 01:53:51,lgb_inner_fold,outer 1 candidate 5 of 8 fold 1 of 5
2026-03-29 01:53:51,lgb_inner_fold,outer 1 candidate 5 of 8 fold 2 of 5
2026-03-29 01:53:52,lgb_inner_fold,outer 1 candidate 5 of 8 fold 3 of 5
2026-03-29 01:53:52,lgb_inner_fold,outer 1 candidate 5 of 8 fold 4 of 5
2026-03-29 01:53:53,lgb_inner_fold,outer 1 candidate 5 of 8 fold 5 of 5
2026-03-29 01:53:54,lgb_inner_fold,outer 1 candidate 6 of 8 fold 1 of 5
2026-03-29 01:53:54,lgb_inner_fold,outer 1 candidate 6 of 8 fold 2 of 5
2026-03-29 01:53:54,lgb_inner_fold,outer 1 candidate 6 of 8 fold 3 of 5
2026-03-29 01:53:55,lgb_inner_fold,outer 1 candidate 6 of 8 fold 4 of 5
2026-03-29 01:53:55,lgb_inner_fold,outer 1 candidate 6 of 8 fold 5 of 5
2026-03-29 01:53:55,lgb_inner_fold,outer 1 candidate 7 of 8 fold 1 of 5
2026-03-29 01:53:56,lgb_inner_fold,outer 1 candidate 7 of 8 fold 2 of 5
2026-03-29 01:53:56,lgb_inner_fold,outer 1 candidate 7 of 8 fold 3 of 5
