model,auc,log_loss,brier,threshold_youden,accuracy_youden,precision_youden,recall_youden,f1_youden,threshold_f1,accuracy_f1,precision_f1,recall_f1,f1_f1
naive_bayes,0.7442998246099874,6.342841496877702,0.29054505360885113,0.9999961104444106,0.7197802197802198,0.8301886792452831,0.6376811594202898,0.7213114754098361,0.9846650887582299,0.7197802197802198,0.7807486631016043,0.7053140096618358,0.7411167512690355
ridge,0.6724976153112403,0.6758476702116641,0.2372910900540962,0.5631889216041166,0.6346153846153846,0.6622807017543859,0.7294685990338164,0.6942528735632184,0.5401852522052526,0.6208791208791209,0.6036036036036037,0.9710144927536232,0.7444444444444446
svm_platt,0.663035785716484,0.6627050909922766,0.2339753465776208,0.558810565897522,0.6236263736263736,0.7536231884057971,0.5024154589371981,0.6028985507246377,0.5151583011670536,0.5989010989010989,0.5915915915915916,0.9516908212560387,0.7296296296296295
xgboost,0.7785931874826915,0.5547318134193764,0.19030360085742393,0.45144269890696775,0.7335164835164835,0.7619047619047619,0.7729468599033816,0.7673860911270983,0.4099215228124417,0.7307692307692307,0.7319148936170212,0.8309178743961353,0.77828054298642535
lightgbm,0.798455337087295,0.5313217265175759,0.18108002762267428,0.7183068202130819,0.7225274725274725,0.9015151515151515,0.5748792270531401,0.7020648967551621,0.3450610929220627,0.7115384615384616,0.6946564885496184,0.8792270531400966,0.7761194029850746
