model,threshold_youden,threshold_f1
naive_bayes,0.9999961104444106,0.9846650887582299
ridge,0.5631889216041166,0.5401852522052526
svm_platt,0.558810565897522,0.5151583011670536
xgboost,0.45144269890696775,0.4099215228124417
lightgbm,0.7183068202130819,0.3450610929220627
