score,best_no_score_model,best_no_score_pretty,best_no_score_waic,best_with_score_model,best_with_score_pretty,best_with_score_waic,mean,lower,upper,prob_positive,mean_std,lower_std,upper_std,flipped,auc_raw,auc_aligned,score_gain_vs_baseline,score_gain_support,abs_effect_std
score_ridge_logit,date_rw2_creator,Date RW2 + creator,1853.8935357820226,date_rw2_score_creator,Date RW2 + creator + score,1661.360976454634,0.5137340983352601,0.43910211967634066,0.5883154533189993,0.9999998126472827,0.51373409833526,0.43910211967634055,0.5883154533189991,FALSE,0.9780318365844681,0.9780318365844681,192.53255932738853,large,0.51373409833526
score_svm_logit,date_rw2_creator,Date RW2 + creator,1853.8935357820226,date_rw2_source_score_creator,Date RW2 + source + creator + score,1707.6003770825355,0.49537489025504594,0.4099552365172446,0.5807377919280491,0.9999998125387103,0.49537489025504583,0.40995523651724447,0.580737791928049,FALSE,0.9813213102686786,0.9813213102686786,146.2931586994871,large,0.49537489025504583
score_lgb_logit,date_rw2_creator,Date RW2 + creator,1853.8935357820226,date_rw2_source_score_creator,Date RW2 + source + creator + score,1768.1286648850073,0.3817114228418988,0.29738893610129297,0.46600999652029995,0.9999998124951612,0.3817114228418987,0.2973889361012929,0.46600999652029984,FALSE,0.9677953625322047,0.9677953625322047,85.76487089701527,large,0.3817114228418987
score_nb_logit,date_rw2_creator,Date RW2 + creator,1853.8935357820226,date_rw2_score_creator,Date RW2 + creator + score,1793.8983756487253,-0.35814710711480835,-0.44328681297768024,-0.2728951100625182,0,-0.3581471071148083,-0.44328681297768013,-0.27289511006251815,FALSE,0.9631716967243283,0.9631716967243283,59.995160133297304,large,0.3581471071148083
score_xgb_logit,date_rw2_creator,Date RW2 + creator,1853.8935357820226,date_rw2_source_score_creator,Date RW2 + source + creator + score,1811.8655813536816,0.27372359504139704,0.1872222350530996,0.3602062166923644,0.9999998124640757,0.273723595041397,0.18722223505309957,0.36020621669236436,FALSE,0.9642988590357011,0.9642988590357011,42.02795442834099,large,0.273723595041397
score_bert_logit,date_rw2_creator,Date RW2 + creator,1853.8935357820226,date_rw2_score_creator,Date RW2 + creator + score,1843.0817365951912,0.14202195738627013,0.06627354282186916,0.2177959445881862,0.9998860439104332,0.1420219573862701,0.06627354282186915,0.21779594458818616,FALSE,0.9349466323150534,0.9349466323150534,10.811799186831422,large,0.1420219573862701
