score,model,mean,lower,upper,prob_positive,y_sd,mean_std,lower_std,upper_std,model_pretty,date_function,has_label,has_creator,score_label
score_lgb_logit,label_date_rw2_creator,5.313256975659939,4.758894485287919,5.865847891193395,0.9999998145930917,2.931619252825528,1.8123966714091406,1.6232989603616643,2.0008900833693954,Label + RW2 date + creator,rw2,TRUE,TRUE,LightGBM
score_lgb_logit,label_date_linear_creator,5.290665270720254,4.741566183145171,5.837260944068474,0.9999998151704752,2.931619252825528,1.8046904507197006,1.6173881306636921,1.9911388351138897,Label + linear date + creator,linear,TRUE,TRUE,LightGBM
score_lgb_logit,label_date_linear,5.4373373102402685,4.968171482462924,5.906491421518006,0.9999998139585802,2.931619252825528,1.8547215178095522,1.6946851053985075,2.0147539336239735,Label + linear date,linear,TRUE,FALSE,LightGBM
score_lgb_logit,label_date_rw2,5.4328255841053235,4.960371972898668,5.904960969607935,0.9999998141121567,2.931619252825528,1.853182530053691,1.6920246270445265,2.01423188359698,Label + RW2 date,rw2,TRUE,FALSE,LightGBM
score_lgb_logit,label_date_rw1,5.516186972650461,5.024530503630645,6.00728918767719,0.9999998162429662,2.931619252825528,1.8816178012659377,1.7139096418431368,2.0491368999870283,Label + RW1 date,rw1,TRUE,FALSE,LightGBM
score_lgb_logit,label_only,6.0438859760643515,5.641808212314684,6.445954518102396,0.9999998139516004,2.931619252825528,2.061620372508874,1.9244682633589083,2.1987693360553937,Label only,none,TRUE,FALSE,LightGBM
score_bert_logit,label_date_linear_creator,5.701514273656032,4.749660981000466,6.649457703163467,0.9999998168752143,4.390385762811726,1.2986362888541763,1.08183226659305,1.5145497599520659,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear,5.724996633843595,4.787852274010794,6.662095776689113,0.9999998139637355,4.390385762811726,1.3039848758477084,1.0905311133626943,1.517428339240632,Label + linear date,linear,TRUE,FALSE,Latin BERT
score_bert_logit,label_date_rw2_creator,5.748274465416331,4.787969995398807,6.704814254104913,0.9999998159324218,4.390385762811726,1.3092868772731658,1.0905579268124397,1.5271583446942854,Label + RW2 date + creator,rw2,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_rw1,5.980874941878021,5.003292326250433,6.960900424401053,0.9999998140688304,4.390385762811726,1.3622663850038774,1.1396019840967653,1.5854871987246735,Label + RW1 date,rw1,TRUE,FALSE,Latin BERT
score_bert_logit,label_date_rw1_creator,5.956892934444762,4.959490670008619,6.946928313418156,0.9999998142573867,4.390385762811726,1.3568039931483837,1.129625262549235,1.5823047651669562,Label + RW1 date + creator,rw1,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_rw2,6.692171951869649,5.817517195822349,7.566826707916949,0.999999813342285,4.390385762811726,1.5242788022307623,1.325058322915262,1.7234992815462624,Label + RW2 date,rw2,TRUE,FALSE,Latin BERT
score_bert_logit,label_only,7.292765103758038,6.474704762489043,8.110784236014956,0.9999998139583897,4.390385762811726,1.6610761554327624,1.474746209622924,1.8473967150486983,Label only,none,TRUE,FALSE,Latin BERT
