score,model,creator_idx,mean,lower,upper,y_sd,creator,mean_std,lower_std,upper_std,model_pretty,date_function,has_label,has_creator,score_label
score_bert_logit,label_date_linear_creator,1,0.0793743899704903,-0.41664058084415434,0.7909484973670504,4.390385762811726,[Auctor incertus],0.018079137975259996,-0.09489839921887093,0.18015466979386907,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,2,0.02081850277626477,-0.5944869376408273,0.7030285744476201,4.390385762811726,Ablabius,0.004741839077696903,-0.13540653823095972,0.1601291122075298,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,3,-0.0059793219370212975,-0.6372524605835104,0.6076852805771931,4.390385762811726,Accius,-0.0013619126564386388,-0.1451472592639322,0.13841273031735016,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,4,0.02681971226708577,-0.5855623775990539,0.7283035699925958,4.390385762811726,Aemilius Macer,0.006108737071411619,-0.133373787460545,0.1658860085055874,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,5,0.08351277116828569,-0.4430301553510411,0.9327826034951344,4.390385762811726,Agrestius Gallus Episcopus,0.01902173879016995,-0.10090916363288137,0.21246028342114393,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,6,-0.06942047591328604,-0.8736958027110715,0.462267671449496,4.390385762811726,Albinus,-0.01581193081056896,-0.19900205811334726,0.10529090071425679,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,7,-0.031013236439785135,-0.732394980329059,0.5717866070409136,4.390385762811726,Alcimus Auitus,-0.007063897824760481,-0.16681791074778193,0.1302360744434278,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,8,0.05886928911476568,-0.49183601592158804,0.8270647818193066,4.390385762811726,Ambrosius Mediolanensis,0.013408682583979623,-0.112025694891695,0.1883808909970661,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,9,0.009162791315925045,-0.6102151314313902,0.6560310469847416,4.390385762811726,Ambrosius Theodosius Macrobius,0.002087012807288473,-0.13898895550367113,0.14942446573637777,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,10,-0.0581198634998935,-0.8373433488653095,0.5022112708870533,4.390385762811726,Annianus,-0.013237985598484612,-0.19072204450869287,0.11438887105114498,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
score_bert_logit,label_date_linear_creator,11,0.028508801373658195,-0.5827626686434801,0.7351417696435737,4.390385762811726,Aprissius,0.0064934616031098735,-0.13273609658169597,0.1674435480978711,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
