analysis,score,model,waic,dic,eff_parameters,n,y_mean,y_sd,rank,delta_waic,waic_weight,model_pretty,date_function,has_label,has_creator,score_label
labeled_main,score_nb_logit,label_date_rw2_creator,3041.5506976710035,3040.0182493306306,6.760522340070521,362,-11.081794058111821,26.560305027544583,1,0,0.8009771247102182,Label + RW2 date + creator,rw2,TRUE,TRUE,NB
labeled_main,score_nb_logit,label_date_linear_creator,3047.0675794904623,3045.701986634371,5.415936890945244,362,-11.081794058111821,26.560305027544583,2,5.516881819458831,0.050774358769137495,Label + linear date + creator,linear,TRUE,TRUE,NB
labeled_main,score_nb_logit,label_date_rw1_creator,3047.2192001617195,3045.575274858939,4.625212117338513,362,-11.081794058111821,26.560305027544583,3,5.668502490716037,0.04706742475191129,Label + RW1 date + creator,rw1,TRUE,TRUE,NB
labeled_main,score_nb_logit,label_date_rw1,3047.5600576855054,3047.32172585262,2.284865014652486,362,-11.081794058111821,26.560305027544583,4,6.009360014501908,0.03969210815860085,Label + RW1 date,rw1,TRUE,FALSE,NB
labeled_main,score_nb_logit,label_date_linear,3048.469565302505,3047.091100210795,5.229377164804109,362,-11.081794058111821,26.560305027544583,5,6.918867631501598,0.025188777864528656,Label + linear date,linear,TRUE,FALSE,NB
labeled_main,score_nb_logit,label_date_rw2,3048.584726175525,3047.471293649199,2.8974084132831104,362,-11.081794058111821,26.560305027544583,6,7.034028504521302,0.023779363768025773,Label + RW2 date,rw2,TRUE,FALSE,NB
labeled_main,score_nb_logit,label_only,3049.8675732194642,3048.9819331436643,3.7781471663021597,362,-11.081794058111821,26.560305027544583,7,8.316875548460757,0.012520841977577605,Label only,none,TRUE,FALSE,NB
labeled_main,score_nb_logit,date_rw1,3281.047064689567,3281.2081862287187,5.898705332792724,362,-11.081794058111821,26.560305027544583,8,239.49636701856343,7.900322083197637e-53,Date RW1,rw1,FALSE,FALSE,NB
labeled_main,score_nb_logit,date_linear,3306.7982294762705,3307.289323738394,2.466864675488233,362,-11.081794058111821,26.560305027544583,9,265.24753180526704,2.022322493642147e-58,Date linear,linear,FALSE,FALSE,NB
labeled_main,score_nb_logit,date_rw2,3403.0843334931133,3403.031122110917,1.059738516632507,362,-11.081794058111821,26.560305027544583,10,361.5336358221098,2.4979778504210043e-79,Date RW2,rw2,FALSE,FALSE,NB
labeled_main,score_ridge_logit,label_date_rw2_creator,1031.8235041252003,1018.8438435663485,70.51818986534008,362,-2.27068828387275,1.9064501759527706,1,0,0.4420527778275619,Label + RW2 date + creator,rw2,TRUE,TRUE,Elastic net
labeled_main,score_ridge_logit,label_date_rw1_creator,1031.9552561816295,1019.2623942285205,70.37028890466745,362,-2.27068828387275,1.9064501759527706,2,0.1317520564291499,0.41387055406149076,Label + RW1 date + creator,rw1,TRUE,TRUE,Elastic net
labeled_main,score_ridge_logit,label_date_linear_creator,1034.0656739919823,1022.3613126770875,68.60053209074049,362,-2.27068828387275,1.9064501759527706,3,2.2421698667819783,0.14407649134032388,Label + linear date + creator,linear,TRUE,TRUE,Elastic net
labeled_main,score_ridge_logit,label_date_rw1,1062.208179353177,1059.3467374012516,10.816934677767208,362,-2.27068828387275,1.9064501759527706,4,30.384675227976686,1.1156442489377188e-7,Label + RW1 date,rw1,TRUE,FALSE,Elastic net
labeled_main,score_ridge_logit,label_date_rw2,1064.3222133296138,1060.974925571545,8.52248836535924,362,-2.27068828387275,1.9064501759527706,5,32.498709204413444,3.876761517067327e-8,Label + RW2 date,rw2,TRUE,FALSE,Elastic net
labeled_main,score_ridge_logit,label_date_linear,1065.4374112562557,1062.082063921411,7.160496380309947,362,-2.27068828387275,1.9064501759527706,6,33.613907131055385,2.2197646599681788e-8,Label + linear date,linear,TRUE,FALSE,Elastic net
labeled_main,score_ridge_logit,label_only,1068.7478154424057,1065.5180694401922,6.073678260112715,362,-2.27068828387275,1.9064501759527706,7,36.924311317205365,4.240936769994742e-9,Label only,none,TRUE,FALSE,Elastic net
labeled_main,score_ridge_logit,date_rw1,1331.3842393697382,1327.9067662658238,28.85370247397492,362,-2.27068828387275,1.9064501759527706,8,299.5607352445379,3.9508174945882385e-66,Date RW1,rw1,FALSE,FALSE,Elastic net
