score,model,date_function.x,date_mid,mean,lower,upper,y_sd,mean_std,lower_std,upper_std,model_pretty,date_function.y,has_label,has_creator,waic,score_label
score_bert_logit,label_date_linear_creator,linear,-295.5,-2.3286126832609004,-3.107767510599861,-1.5508583788681676,4.390385762811726,-0.5303890840265462,-0.7078575046693755,-0.35323966108047744,Label + linear date + creator,linear,TRUE,TRUE,1849.8575591892477,Latin BERT
score_bert_logit,label_date_linear_creator,linear,-291.90763052208837,-2.3106680726852424,-3.0838186254382025,-1.5389072502554804,4.390385762811726,-0.5263018325764217,-0.7024026570875264,-0.35051754752181985,Label + linear date + creator,linear,TRUE,TRUE,1849.8575591892477,Latin BERT
score_bert_logit,label_date_linear_creator,linear,-288.3152610441767,-2.2927234621095844,-3.059869740276544,-1.5269561216427934,4.390385762811726,-0.5222145811262973,-0.6969478095056771,-0.34779543396316226,Label + linear date + creator,linear,TRUE,TRUE,1849.8575591892477,Latin BERT
score_bert_logit,label_date_linear_creator,linear,-284.72289156626505,-2.2747788515339273,-3.035920855114887,-1.5150049930301068,4.390385762811726,-0.518127329676173,-0.6914929619238284,-0.3450733204045048,Label + linear date + creator,linear,TRUE,TRUE,1849.8575591892477,Latin BERT
score_bert_logit,label_date_linear_creator,linear,-281.1305220883534,-2.2568342409582693,-3.0119719699532284,-1.5030538644174196,4.390385762811726,-0.5140400782260485,-0.6860381143419791,-0.34235120684584713,Label + linear date + creator,linear,TRUE,TRUE,1849.8575591892477,Latin BERT
score_bert_logit,label_date_linear_creator,linear,-277.5381526104418,-2.2388896303826122,-2.988023084791571,-1.491102735804733,4.390385762811726,-0.5099528267759242,-0.6805832667601304,-0.33962909328718965,Label + linear date + creator,linear,TRUE,TRUE,1849.8575591892477,Latin BERT
score_bert_logit,label_date_linear_creator,linear,-273.9457831325301,-2.2209450198069542,-2.9640741996299127,-1.4791516071920459,4.390385762811726,-0.5058655753257998,-0.6751284191782811,-0.33690697972853206,Label + linear date + creator,linear,TRUE,TRUE,1849.8575591892477,Latin BERT
score_bert_logit,label_date_linear_creator,linear,-270.35341365461846,-2.2030004092312967,-2.940125314468255,-1.467200478579359,4.390385762811726,-0.5017783238756754,-0.6696735715964323,-0.33418486616987453,Label + linear date + creator,linear,TRUE,TRUE,1849.8575591892477,Latin BERT
score_bert_logit,label_date_linear_creator,linear,-266.76104417670683,-2.185055798655639,-2.916176429306597,-1.4552493499666723,4.390385762811726,-0.4976910724255511,-0.6642187240145832,-0.331462752611217,Label + linear date + creator,linear,TRUE,TRUE,1849.8575591892477,Latin BERT
score_bert_logit,label_date_linear_creator,linear,-263.1686746987952,-2.1671111880799816,-2.8922275441449394,-1.4432982213539853,4.390385762811726,-0.49360382097542677,-0.6587638764327343,-0.3287406390525594,Label + linear date + creator,linear,TRUE,TRUE,1849.8575591892477,Latin BERT
score_bert_logit,label_date_linear_creator,linear,-259.5763052208835,-2.1491665775043236,-2.868278658983281,-1.4313470927412983,4.390385762811726,-0.4895165695253023,-0.653309028850885,-0.3260185254939018,Label + linear date + creator,linear,TRUE,TRUE,1849.8575591892477,Latin BERT
score_bert_logit,label_date_linear_creator,linear,-255.98393574297188,-2.1312219669286665,-2.8443297738216238,-1.4193959641286116,4.390385762811726,-0.48542931807517803,-0.6478541812690363,-0.32329641193524433,Label + linear date + creator,linear,TRUE,TRUE,1849.8575591892477,Latin BERT
score_bert_logit,label_date_linear_creator,linear,-252.39156626506025,-2.1132773563530085,-2.8203808886599653,-1.4074448355159246,4.390385762811726,-0.4813420666250536,-0.642399333687187,-0.32057429837658674,Label + linear date + creator,linear,TRUE,TRUE,1849.8575591892477,Latin BERT
score_bert_logit,label_date_linear_creator,linear,-248.7991967871486,-2.095332745777351,-2.7964320034983077,-1.3954937069032378,4.390385762811726,-0.47725481517492924,-0.6369444861053382,-0.3178521848179292,Label + linear date + creator,linear,TRUE,TRUE,1849.8575591892477,Latin BERT
score_bert_logit,label_date_linear_creator,linear,-245.20682730923696,-2.0773881352016934,-2.7724831183366496,-1.3835425782905508,4.390385762811726,-0.4731675637248049,-0.631489638523489,-0.3151300712592716,Label + linear date + creator,linear,TRUE,TRUE,1849.8575591892477,Latin BERT
score_bert_logit,label_date_linear_creator,linear,-241.6144578313253,-2.059443524626036,-2.7485342331749916,-1.371591449677864,4.390385762811726,-0.4690803122746805,-0.62603479094164,-0.3124079577006141,Label + linear date + creator,linear,TRUE,TRUE,1849.8575591892477,Latin BERT
score_bert_logit,label_date_linear_creator,linear,-238.02208835341366,-2.0414989140503783,-2.724585348013334,-1.3596403210651773,4.390385762811726,-0.46499306082455616,-0.620579943359791,-0.30968584414195655,Label + linear date + creator,linear,TRUE,TRUE,1849.8575591892477,Latin BERT
score_bert_logit,label_date_linear_creator,linear,-234.429718875502,-2.0235543034747208,-2.700636462851676,-1.3476891924524903,4.390385762811726,-0.4609058093744318,-0.615125095777942,-0.306963730583299,Label + linear date + creator,linear,TRUE,TRUE,1849.8575591892477,Latin BERT
score_bert_logit,label_date_linear_creator,linear,-230.83734939759034,-2.0056096928990628,-2.676687577690018,-1.335738063839803,4.390385762811726,-0.45681855792430737,-0.609670248196093,-0.30424161702464136,Label + linear date + creator,linear,TRUE,TRUE,1849.8575591892477,Latin BERT
score_bert_logit,label_date_linear_creator,linear,-227.2449799196787,-1.9876650823234057,-2.6527386925283603,-1.3237869352271165,4.390385762811726,-0.4527313064741831,-0.604215400614244,-0.3015195034659839,Label + linear date + creator,linear,TRUE,TRUE,1849.8575591892477,Latin BERT
score_bert_logit,label_date_linear_creator,linear,-223.65261044176708,-1.9697204717477477,-2.628789807366702,-1.3118358066144296,4.390385762811726,-0.44864405502405863,-0.598760553032395,-0.2987973899073263,Label + linear date + creator,linear,TRUE,TRUE,1849.8575591892477,Latin BERT
score_bert_logit,label_date_linear_creator,linear,-220.06024096385542,-1.9517758611720901,-2.604840922205044,-1.2998846780017426,4.390385762811726,-0.4445568035739343,-0.5933057054505458,-0.29607527634866876,Label + linear date + creator,linear,TRUE,TRUE,1849.8575591892477,Latin BERT
