term,n_models,christian_votes,non_christian_votes,mean_z,median_z,mean_abs_z,mean_abs_contrib,mean_rank_abs,mean_present_rate,mean_n_present,mean_n_present_ch,mean_n_present_nc,agreement_prop,all_agree,direction
christus,5,5,0,71.54609769490642,57.43719880309609,71.54609769490642,19.296969345381648,2.4,0.19889502762430938,72,61,11,1,TRUE,christian
sanctus,5,5,0,21.109833168678946,21.262753539769513,21.109833168678946,7.46990607058643,14.2,0.4143646408839779,150,66,84,1,TRUE,christian
ecclesia,5,5,0,12.979343417679278,14.363524015077282,12.979343417679278,17.592185617478396,22.8,0.09668508287292818,35,32,3,1,TRUE,christian
angelus,5,5,0,11.826402585146177,9.944282072716033,11.826402585146177,8.099983660512564,14,0.11602209944751381,42,40,2,1,TRUE,christian
dominus,5,5,0,11.751863450131708,14.101671027341169,11.751863450131708,5.350487745993881,22.4,0.49171270718232046,178,67,111,1,TRUE,christian
spiritus,5,5,0,9.04212753920637,9.38762690187813,9.04212753920637,2.960514222563578,66.6,0.3287292817679558,119,56,63,1,TRUE,christian
codex,5,5,0,8.426271512004986,5.785795725659729,8.426271512004986,3.0256212370320563,59.4,0.055248618784530384,20,12,8,1,TRUE,christian
gratia,5,5,0,7.8707192927916205,4.715412295331544,7.8707192927916205,0.9211978510294226,445,0.44751381215469616,162,55,107,1,TRUE,christian
caro,5,5,0,6.831521715161111,5.909965323023326,6.831521715161111,3.6835792230265203,49.2,0.23756906077348067,86,48,38,1,TRUE,christian
anima,5,5,0,5.398262731431098,3.1546087849523223,5.398262731431098,3.8827203396885186,53.4,0.35082872928176795,127,53,74,1,TRUE,christian
cor,5,5,0,4.845424320470904,3.6546399652872754,4.845424320470904,2.0883349051332525,118.4,0.39226519337016574,142,56,86,1,TRUE,christian
origo,5,5,0,3.9396897265972934,4.57800447697053,3.9396897265972934,0.5802985066411266,766.2,0.2154696132596685,78,29,49,1,TRUE,christian
sacerdos,5,5,0,3.660825254395706,3.3172683914154457,3.660825254395706,2.459661693359879,108.4,0.212707182320442,77,37,40,1,TRUE,christian
mereo,5,5,0,3.127951596684761,2.9704671378876006,3.127951596684761,0.9416822274559831,366.2,0.4585635359116022,166,55,111,1,TRUE,christian
surgo,5,5,0,2.5962477671731166,1.170192149391358,2.5962477671731166,0.5709753482913262,726.6,0.2955801104972376,107,44,63,1,TRUE,christian
cerno,5,5,0,2.5611994359878647,1.4239054591000073,2.5611994359878647,1.009370838984521,349.6,0.35359116022099446,128,45,83,1,TRUE,christian
caelestis,5,5,0,2.4720075482840995,1.2212111175493114,2.4720075482840995,1.3415104136591558,252.6,0.27071823204419887,98,43,55,1,TRUE,christian
salus,5,5,0,2.2939027974307065,1.1482276043075963,2.2939027974307065,0.8081854984964244,453.6,0.39502762430939226,143,52,91,1,TRUE,christian
fidelis,5,5,0,2.2814995711420245,0.773186871754875,2.2814995711420245,0.925021684895568,462,0.23204419889502761,84,36,48,1,TRUE,christian
eximius,5,5,0,2.1191146007610824,1.7930016069168415,2.1191146007610824,0.19661028892902124,2232.2,0.143646408839779,52,21,31,1,TRUE,christian
iustitia,5,5,0,1.5114939519961554,0.5777775226947361,1.5114939519961554,0.6792946984717924,666.4,0.21823204419889503,79,36,43,1,TRUE,christian
pando,5,5,0,1.136888529644294,0.43828367597520473,1.136888529644294,0.4229172988431491,1090.4,0.1850828729281768,67,26,41,1,TRUE,christian
sacrificium,5,5,0,1.0680819516490034,0.7658682862002254,1.075168750949386,0.9059088937093757,509.4,0.08839779005524862,32,16,16,1,TRUE,christian
meritum,5,5,0,1.023775076474181,0.6269919915173051,1.023775076474181,0.9099611226928277,432.4,0.31215469613259667,113,43,70,1,TRUE,christian
