model,term,mu_all,mu_ch,mu_nc,mean_abs_contrib,n_present,n_present_ch,n_present_nc,present_rate,direction,z_mu_all,z_abs,rank_abs,rank_pos,rank_neg,side
lightgbm,eximius,0.03875759688259154,0.060397271884206814,0.024098462204077954,0.04724435800285449,52,21,31,0.143646408839779,christian,1.7930016069168415,2.121829633898634,25,27,18510,christian
lightgbm,uas,0.03575632057083453,0.038367124356160943,0.033611731747173544,0.04100529837978209,51,23,28,0.1408839779005525,christian,1.6530195112238362,1.838543387954236,31,28,18509,christian
lightgbm,inieco,0.03465208889998445,0.029587673461987363,0.036677855075183285,0.037565335782893824,21,6,15,0.058011049723756904,christian,1.6015172010864227,1.682350924805161,33,30,18507,christian
lightgbm,palmes,0.034283357803668806,0.0284747622502662,0.038349374691050625,0.03626492788336779,34,14,20,0.09392265193370165,christian,1.5843192671916835,1.6233055406753394,34,31,18506,christian
lightgbm,scyphus,0.031997594100454524,0.04436007915240811,0.026503156299586272,0.03374117374163513,13,4,9,0.03591160220994475,christian,1.4777092919016628,1.5087137785042959,36,32,18505,christian
lightgbm,cerno,0.030844016794228976,0.03904539027898872,0.02639748900128696,0.049557256133140624,128,45,83,0.35359116022099446,christian,1.4239054591000073,2.2268474199376653,23,33,18504,christian
lightgbm,uulnus,0.028825068331587943,0.04056391599557467,0.022808908903794736,0.029356787502363802,121,41,80,0.3342541436464088,christian,1.3297399749726184,1.309639495915245,47,34,18503,christian
lightgbm,fortuna,-0.3930987423791289,0.08130858374318459,-0.4275315321783291,0.4180575342878713,133,9,124,0.3674033149171271,non_christian,-18.349147641838965,18.958705541933483,4,18536,1,non_christian
lightgbm,laurus,-0.33846218284270363,0.09232534895721664,-0.37948956682364843,0.3567877037782118,46,4,42,0.1270718232044199,non_christian,-15.800851746721241,16.17673176329797,6,18535,2,non_christian
lightgbm,fatum,-0.02957195020791469,-0.010325659191564756,-0.03246924132865555,0.03323919134140204,107,14,93,0.2955801104972376,non_christian,-1.393946946274999,1.4859211273223278,37,18534,3,non_christian
lightgbm,murmur,-0.025524655752883228,-0.03767172894759843,-0.020852704524146608,0.030641029387261647,54,15,39,0.14917127071823205,non_christian,-1.2051776691902396,1.367950857632624,42,18533,4,non_christian
lightgbm,musa,-0.02396900051077715,0.007494520503335546,-0.028028809673888464,0.030451446023429054,70,8,62,0.19337016574585636,non_christian,-1.1326205773580869,1.3593427720110285,45,18532,5,non_christian
lightgbm,phoebus,-0.021316047991371212,-0.01712106411599,-0.021774874352741034,0.022597907478677005,71,7,64,0.19613259668508287,non_christian,-1.0088846014382036,1.0027506593960116,61,18531,6,non_christian
lightgbm,aetas,-0.017963797104055216,-0.010761851842074944,-0.020135812341795286,0.021800282767812176,164,38,126,0.4530386740331492,non_christian,-0.8525327511747011,0.9665342864705494,62,18530,7,non_christian
lightgbm,taurus,-0.017241689485377142,-0.0028967344675174087,-0.019984107356438564,0.01967318481448182,81,13,68,0.22375690607734808,non_christian,-0.8188530338549497,0.8699528093956065,65,18529,8,non_christian
lightgbm,romanus,-0.01640882245506141,-0.004192310824943374,-0.019296361567634774,0.018167040599631007,136,26,110,0.3756906077348066,non_christian,-0.7800074027877608,0.8015659103670879,71,18528,9,non_christian
lightgbm,pulcherrimus,-0.015251626976156467,-0.021901901579536483,-0.013755315190395967,0.01600469953586356,49,9,40,0.13535911602209943,non_christian,-0.7260348153158815,0.7033842100126293,78,18527,10,non_christian
lightgbm,imperium,-0.012372443721230952,-0.008123599801668682,-0.013544538595592945,0.012372443721230952,148,32,116,0.4088397790055249,non_christian,-0.5917472442815649,0.5384606195677168,94,18526,11,non_christian
lightgbm,optimus,-0.012152371856853066,-0.017175540676912147,-0.011315177053509888,0.017114394156440126,77,11,66,0.212707182320442,non_christian,-0.5814829041879835,0.7537702044091731,76,18525,12,non_christian
lightgbm,latratus,-0.011638708404155294,-0.009051074079996686,-0.01281490582422739,0.011754158026182723,16,5,11,0.04419889502762431,non_christian,-0.5575252011574868,0.5103871847789846,99,18524,13,non_christian
lightgbm,bene,-0.01069031721697264,0.004109907939802709,-0.014637043925446068,0.01940389414623338,152,32,120,0.4198895027624309,non_christian,-0.5132914245476665,0.8577255913395637,66,18523,14,non_christian
lightgbm,nimium,-0.010515691971006956,-0.005510056720099855,-0.011921769288677482,0.01176054468810993,114,25,89,0.3149171270718232,non_christian,-0.5051467536303551,0.5106771729488017,98,18522,15,non_christian
lightgbm,sidus,-0.01050535273911819,-0.010744981774424896,-0.010418214908097566,0.01792534889897483,120,32,88,0.3314917127071823,non_christian,-0.5046645230066781,0.790591831148225,74,18521,16,non_christian
lightgbm,angustus,-0.010031191854319253,-0.01718803752702659,-0.008175713346580312,0.011171405474364068,68,14,54,0.1878453038674033,non_christian,-0.4825492535495491,0.4839271422897722,104,18520,17,non_christian
lightgbm,uiuifico,-0.009957084919983107,-0.006020618686666282,-0.016142960429480973,0.010174652888473676,18,11,7,0.049723756906077346,non_christian,-0.47909284271089336,0.43866931254439623,112,18519,18,non_christian
lightgbm,summitto,-0.009601526246656637,-0.021066258031628315,-0.007122665320176277,0.009601526246656637,45,8,37,0.12430939226519337,non_christian,-0.46250928189741847,0.41264633718915905,118,18518,19,non_christian
lightgbm,uerendus,-0.009497878012921792,-0.0017821141456984423,-0.013837995188234923,0.01075349497461832,25,9,16,0.06906077348066299,non_christian,-0.4576750395731627,0.4649517992467416,107,18517,20,non_christian
lightgbm,silua,-0.009329536408057375,-0.009697637980180427,-0.009219529041675771,0.012448701975742995,113,26,87,0.31215469613259667,non_christian,-0.44982344305439714,0.5419231469273049,93,18516,21,non_christian
lightgbm,lustrum,-0.008934538328435411,-0.01293992443822739,-0.007771684296560318,0.009830654824328778,40,9,31,0.11049723756906077,non_christian,-0.4314003945787886,0.4230499842976565,115,18515,22,non_christian
lightgbm,gestus,-0.008795681014631717,-0.018110565722898018,-0.006877910633518065,0.009148967004711878,41,7,34,0.1132596685082873,non_christian,-0.4249239706279518,0.392097758322583,122,18514,23,non_christian
lightgbm,pallidus,-0.0084905779894196,-0.0175839022487946,-0.00679879673186146,0.0084905779894196,51,8,43,0.1408839779005525,non_christian,-0.4106937044228167,0.3622034210696668,128,18513,24,non_christian
lightgbm,timidus,-0.008231311503091327,-0.00773027752784916,-0.008317426717586077,0.008584503458226282,75,11,64,0.20718232044198895,non_christian,-0.39860129361844565,0.36646813323212407,127,18512,25,non_christian
lightgbm,modus,-0.007475289020593602,-0.0015546197644507815,-0.009191425036866898,0.010469755852324358,178,40,138,0.49171270718232046,non_christian,-0.3633397580255749,0.45206854509655403,109,18511,26,non_christian
lightgbm,imitor,-0.007213116915607354,-0.010869179084484818,-0.006197544090919175,0.009884428769046135,92,20,72,0.2541436464088398,non_christian,-0.3511118266803476,0.42549160528686253,114,18510,27,non_christian
lightgbm,magnanimus,-0.006702083415626849,3.8040583925829074e-4,-0.008785168490593066,0.007592631936085384,22,5,17,0.06077348066298342,non_christian,-0.32727678689531564,0.32143192955050554,137,18509,28,non_christian
lightgbm,iuppiter,-0.006609229932593266,-0.0012452901591721948,-0.0073212573361447365,0.007272073954000292,128,15,113,0.35359116022099446,non_christian,-0.3229460209819877,0.3068769047809749,142,18508,29,non_christian
