"lemma","delta","log_odds","df_rate_ch","df_rate_nc","df_gap","rare"
"christus",0.970824175791236,3.77048277481647,0.342995169082126,0.0127388535031847,0.330256315578941,FALSE
"pius",0.0684237977268303,1.02413480274789,0.478260869565217,0.203821656050955,0.274439213514262,FALSE
"proprius",0.204058301179249,1.06352208288041,0.48792270531401,0.229299363057325,0.258623342256685,FALSE
"cerno",0.0760477427617633,0.77846948878015,0.463768115942029,0.21656050955414,0.247207606387889,FALSE
"suscipio",0.0747153096172856,0.648540012024333,0.429951690821256,0.191082802547771,0.238868888273485,FALSE
"unus",0.111708563755387,0.0773191485363568,0.748792270531401,0.56687898089172,0.181913289639681,FALSE
"flexus",0.0895691497289295,0.259072240743814,0.222222222222222,0.0445859872611465,0.177636234961076,FALSE
"imus",-1.36757970209825e-05,0.3851078238303,0.323671497584541,0.146496815286624,0.177174682297917,FALSE
"uita",0.0967558498896541,0.212243455781239,0.642512077294686,0.477707006369427,0.164805070925259,FALSE
"aeque",0.179749089191439,-0.38204952545928,0.154589371980676,0.312101910828025,-0.157512538847349,FALSE
"internus",0.110152601659732,4.29891237389509,0.154589371980676,0,0.154589371980676,FALSE
"sumo",0.115602683881339,0.310350746261468,0.531400966183575,0.382165605095541,0.149235361088033,FALSE
"gratia",0.0923837196945436,-0.103372276301295,0.51207729468599,0.363057324840764,0.149019969845226,FALSE
"nubilum",0.092078620603574,0.657573864550157,0.207729468599034,0.0636942675159236,0.14403520108311,FALSE
"poena",-0.000381300683369923,0.0350358724510069,0.468599033816425,0.32484076433121,0.143758269485215,FALSE
"ludus",0.0714173120120335,-0.9886956781924,0.188405797101449,0.331210191082803,-0.142804393981353,FALSE
"praesumo",-4.12179763682458e-05,2.19477821962489,0.193236714975845,0.0573248407643312,0.135911874211514,FALSE
"fauor",0.0864155098570186,0.4834558576022,0.227053140096618,0.0955414012738854,0.131511738822733,FALSE
"ordo",-0.000179668515015793,0.0424104965559857,0.458937198067633,0.331210191082803,0.12772700698483,FALSE
"luna",-0.000165395468067761,1.56551489569468,0.328502415458937,0.203821656050955,0.124680759407982,FALSE
"astrum",-0.000172697462376616,0.061906686285763,0.294685990338164,0.171974522292994,0.122711468045171,FALSE
"confundo",-0.000551400605265296,0.228947093075018,0.280193236714976,0.159235668789809,0.120957567925167,FALSE
"aureus",0.117802879056882,0.37156694416416,0.342995169082126,0.222929936305732,0.120065232776393,FALSE
"deus",-0.00427445655242017,0.945194904046897,0.710144927536232,0.592356687898089,0.117788239638143,FALSE
"utor",0.091595049714407,-0.980308086426314,0.367149758454106,0.484076433121019,-0.116926674666913,FALSE
"genetrix",-7.08625816138483e-05,0.501321451137609,0.193236714975845,0.0764331210191083,0.116803593956737,FALSE
"gurges",-9.67216074604936e-05,0.697188607327354,0.217391304347826,0.101910828025478,0.115480476322348,FALSE
"uter",0.101390930638721,-0.226123100187202,0.198067632850242,0.312101910828025,-0.114034277977784,FALSE
"fluctus",0.0679309301857842,0.202280916057887,0.342995169082126,0.229299363057325,0.113695806024801,FALSE
"pars",-0.00165705219296753,0.268631559688412,0.632850241545894,0.522292993630573,0.110557247915321,FALSE
"uirgo",-2.13194228625621e-05,0.207345860428011,0.391304347826087,0.286624203821656,0.104680144004431,FALSE
"cano",-0.000371635241146594,0.276949047774442,0.381642512077295,0.280254777070064,0.101387735007231,FALSE
"plaga",-0.000332647426610308,0.0572728769902882,0.27536231884058,0.184713375796178,0.0906489430444014,FALSE
"debeo",-0.000176997299072029,0.128676278446654,0.502415458937198,0.414012738853503,0.0884027200836949,FALSE
"gero",-1.33904164414332e-05,0.0633743322986567,0.51207729468599,0.445859872611465,0.0662174220745254,FALSE
"curro",-8.09991131070114e-06,0.792181481159058,0.357487922705314,0.292993630573248,0.0644942921320656,FALSE
"uro",-9.86744847675438e-06,-0.0464786278618374,0.265700483091787,0.203821656050955,0.061878827040832,FALSE
"facile",-5.55190807908837e-06,-0.474479238562868,0.280193236714976,0.331210191082803,-0.0510169543678267,FALSE
"testimonium",-7.88268205735206e-06,-0.0868054838347726,0.178743961352657,0.140127388535032,0.0386165728176251,FALSE
"domus",0.170697570280631,-0.396044347112641,0.531400966183575,0.503184713375796,0.0282162528077787,FALSE
