model,threshold_youden,threshold_f1
naive_bayes,0.9981990384268072,0.9990056112869531
ridge,0.46519542324799434,0.4652260477931413
svm_platt,0.4510708783173249,0.360124200173973
xgboost,0.29510702178006587,0.2959982748378529
lightgbm,0.38554741653696645,0.3877830196081578
