time,step,detail
2026-03-29 01:09:58,lgb_inner_fold,outer 1 candidate 2 of 8 fold 2 of 5
2026-03-29 01:09:58,lgb_inner_fold,outer 1 candidate 2 of 8 fold 3 of 5
2026-03-29 01:09:58,lgb_inner_fold,outer 1 candidate 2 of 8 fold 4 of 5
2026-03-29 01:09:58,lgb_inner_fold,outer 1 candidate 2 of 8 fold 5 of 5
2026-03-29 01:09:59,lgb_inner_fold,outer 1 candidate 3 of 8 fold 1 of 5
2026-03-29 01:09:59,lgb_inner_fold,outer 1 candidate 3 of 8 fold 2 of 5
2026-03-29 01:09:59,lgb_inner_fold,outer 1 candidate 3 of 8 fold 3 of 5
2026-03-29 01:10:00,lgb_inner_fold,outer 1 candidate 3 of 8 fold 4 of 5
2026-03-29 01:10:00,lgb_inner_fold,outer 1 candidate 3 of 8 fold 5 of 5
2026-03-29 01:10:00,lgb_inner_fold,outer 1 candidate 4 of 8 fold 1 of 5
2026-03-29 01:10:00,lgb_inner_fold,outer 1 candidate 4 of 8 fold 2 of 5
2026-03-29 01:10:00,lgb_inner_fold,outer 1 candidate 4 of 8 fold 3 of 5
2026-03-29 01:10:01,lgb_inner_fold,outer 1 candidate 4 of 8 fold 4 of 5
2026-03-29 01:10:01,lgb_inner_fold,outer 1 candidate 4 of 8 fold 5 of 5
2026-03-29 01:10:01,lgb_inner_fold,outer 1 candidate 5 of 8 fold 1 of 5
2026-03-29 01:10:01,lgb_inner_fold,outer 1 candidate 5 of 8 fold 2 of 5
2026-03-29 01:10:02,lgb_inner_fold,outer 1 candidate 5 of 8 fold 3 of 5
2026-03-29 01:10:02,lgb_inner_fold,outer 1 candidate 5 of 8 fold 4 of 5
2026-03-29 01:10:02,lgb_inner_fold,outer 1 candidate 5 of 8 fold 5 of 5
2026-03-29 01:10:02,lgb_inner_fold,outer 1 candidate 6 of 8 fold 1 of 5
2026-03-29 01:10:03,lgb_inner_fold,outer 1 candidate 6 of 8 fold 2 of 5
2026-03-29 01:10:03,lgb_inner_fold,outer 1 candidate 6 of 8 fold 3 of 5
2026-03-29 01:10:03,lgb_inner_fold,outer 1 candidate 6 of 8 fold 4 of 5
2026-03-29 01:10:03,lgb_inner_fold,outer 1 candidate 6 of 8 fold 5 of 5
2026-03-29 01:10:03,lgb_inner_fold,outer 1 candidate 7 of 8 fold 1 of 5
2026-03-29 01:10:03,lgb_inner_fold,outer 1 candidate 7 of 8 fold 2 of 5
2026-03-29 01:10:04,lgb_inner_fold,outer 1 candidate 7 of 8 fold 3 of 5
2026-03-29 01:10:04,lgb_inner_fold,outer 1 candidate 7 of 8 fold 4 of 5
2026-03-29 01:10:04,lgb_inner_fold,outer 1 candidate 7 of 8 fold 5 of 5
2026-03-29 01:10:05,lgb_inner_fold,outer 1 candidate 8 of 8 fold 1 of 5
2026-03-29 01:10:05,lgb_inner_fold,outer 1 candidate 8 of 8 fold 2 of 5
2026-03-29 01:10:05,lgb_inner_fold,outer 1 candidate 8 of 8 fold 3 of 5
2026-03-29 01:10:05,lgb_inner_fold,outer 1 candidate 8 of 8 fold 4 of 5
